t,umax,urms,band_valid,liq_band,gas_band,n_mixed,dpdx_liq,dpdx_gas,r2_liq,r2_gas,Pc_dynamic,Pc_dynamic_thr085,Pc_dynamic_thr095,jump_in,jump_out,rho_res_liq,rho_res_gas,u_band_max,u_band_ut_rms,m_r,m_b,inj_r,inj_b,inj_m,closure_r,closure_b
25000,0.0218356866389513,0.006093345582485199,1,"[12, 171]","[183, 250]",8,-4.315479668108292e-06,-2.2140397202689533e-06,0.9879161820391404,0.44704594461599345,0.0017627469095967685,0.0017272349962482725,0.00176133838233683,0.0004597902297973633,0.000443190336227417,1.0,1.0,0.014339683577418327,0.0029160345438867807,20492.346454708706,41334.67090686788,-32067.64763021469,31974.671428084373,-129.2771362066269,0.005915076602832414,0.0005212164905969985
26000,0.02331952564418316,0.006097013596445322,1,"[12, 176]","[188, 250]",8,-4.144374404765133e-06,-3.591501428517927e-06,0.9897916314161505,0.3892120240106667,0.0017853807066470218,0.0017853807066470218,0.0017853807066470218,0.00047785043716430664,0.00037109851837158203,1.0,1.0,0.018591076135635376,0.0031471902038902044,19143.3576343963,42679.28723645124,-33416.636632204056,33319.28804934025,-137.8237155675888,0.00573339964466868,0.0008128890112857334
27000,0.021009450778365135,0.006083018146455288,1,"[12, 182]","[194, 250]",8,-4.326034951009849e-06,-2.532280721814494e-06,0.9954967994840838,0.42863340837311315,0.0017689824079545335,0.0017689824079545335,0.0017689824079545335,0.00046133995056152344,0.00040262937545776367,1.0,1.0,0.011793268844485283,0.002610165160149336,17795.219402182905,44024.99380157671,-34764.774654865265,34664.99460709095,-144.6635638475418,0.005942951829638332,0.0008055142388911918
28000,0.022441241890192032,0.006097076926380396,1,"[12, 187]","[199, 250]",8,-4.312532982696001e-06,-2.7927877676487827e-07,0.9921471409122772,0.0021087735431328802,0.0017181797844026958,0.0017181797844026958,0.001766117984417448,0.00045859813690185547,0.000474393367767334,1.0,1.0,0.016066601499915123,0.0030457358807325363,16447.886438595495,45370.47546761092,-36112.10725033283,36010.47554033995,-151.13946783542633,0.006311071672826074,7.27290243958123e-05
29000,0.020182058215141296,0.006073470693081617,1,"[12, 193]","[205, 250]",8,-4.139814710624267e-06,-1.3121228287175164e-06,0.9938729882390962,0.10504452408515996,0.0016961196512494947,0.0016961196512494947,0.0016961196512494947,0.00047600269317626953,0.00039136409759521484,1.0,1.0,0.01889820210635662,0.003179677529260516,15099.338062841576,46715.20958921868,-37460.65576541424,37355.2099763751,-159.783487200737,0.006171744185849093,0.0003871564258588478
30000,0.021357053890824318,0.006088650785386562,1,"[12, 199]","[211, 250]",8,-4.328289170294647e-06,-1.8337356899446917e-06,0.9972558705553947,0.11128051268020545,0.0017645048176768707,0.0017645048176768707,0.0017645048176768707,0.00045749545097351074,0.0004029572010040283,1.0,1.0,0.012499988079071045,0.0027345994021743536,13752.017252777565,48060.872113482474,-38807.976707816124,38700.872813761234,-166.4559806585312,0.006039406311174389,0.0007002787606325
31000,0.023005381226539612,0.006097174249589443,1,"[12, 204]","[216, 250]",8,-4.194922547356445e-06,2.6218166234740245e-06,0.9964900896987029,0.05724151472273431,0.0016648473322137813,0.0016648473322137813,0.0017386054139654217,0.00046774744987487793,0.00048211216926574707,1.0,1.0,0.017628008499741554,0.003107541473582387,12405.24397984476,49405.896878109845,-40154.74973785877,40045.89758312702,-173.39852142333984,0.006282296468270943,0.0007050171770970337
32000,0.02064765989780426,0.006081055384129286,1,"[12, 210]","[222, 250]",8,-4.298234388229843e-06,8.128921908607199e-07,0.9980080721338155,0.01626283887091895,0.001689419940535175,0.001689419940535175,0.001689419940535175,0.00045880675315856934,0.0003948509693145752,1.0,1.0,0.011152644641697407,0.002558913314715028,11057.174598812511,50751.320663299804,-41502.81877756119,41391.32142102718,-181.39110732078552,0.00662362630100688,0.0007577273790957406
33000,0.022011648863554,0.0060983458533883095,1,"[12, 216]","[228, 250]",8,-4.170300153556179e-06,4.298955555492802e-06,0.9954029768008137,0.3031851223409109,0.0016165109811373535,0.0015177935270985765,0.001615660375805239,0.0004697442054748535,0.00040796399116516113,1.0,1.0,0.014805560000240803,0.0029543275013566017,9709.414275417206,52096.98898633867,-42850.579094171524,42736.990166544914,-188.9826718568802,0.0066304112697253,0.0011802062435890548
34000,0.02342314086854458,0.00609073368832469,1,"[12, 221]","[233, 250]",8,-4.300768889427261e-06,1.0318323677660456e-05,0.9954643271249594,0.14014515071851041,0.0016083772101276872,0.0016083772101276872,0.0016083772101276872,0.00045120716094970703,0.0004807412624359131,1.0,1.0,0.018884701654314995,0.0031703608110547066,8363.490209157193,53443.40910973296,-44196.50307941437,44083.41018474102,-194.1480277776718,0.006711428439302836,0.0010750080618890934
35000,0.02115566097199917,0.006067259702831507,0,,,,,,,,,,,,,1.0,1.0,0.012108837254345417,0.002635127864778042,7018.3901669072875,54785.846417450826,-45541.60317802429,45425.84747695923,-202.44428086280823,0.006655068420513999,0.0010595084022497758
36000,0.022777851670980453,0.006058184430003166,0,,,,,,,,,,,,,1.0,1.0,0.016729988157749176,0.003090054262429476,5679.186753469559,56124.843557716646,-46880.80640101433,46764.84443461895,-207.969100356102,0.0068455161090241745,0.0008769023042987101
