step,Mff,MFF,Mr,Mb,Mracc,Mbacc,Mrho,fF_maxdiff,d_fc_abs,d_frho_abs,d_crho_abs
13800,2.880003926245e+04,2.880003926245e+04,1.920014600611e+04,9.599518951977e+03,0.000000000000e+00,0.000000000000e+00,2.880003926146e+04,0.000000000000e+00,3.743043569339e-01,9.872019290924e-07,-3.743033697319e-01
14000,2.880003870779e+04,2.880003870779e+04,1.920014925690e+04,9.599511432842e+03,0.000000000000e+00,0.000000000000e+00,2.880003869498e+04,0.000000000000e+00,3.780180436843e-01,1.280754804611e-05,-3.780052361362e-01
14200,2.880003867677e+04,2.880003867677e+04,1.920015244324e+04,9.599504848265e+03,0.000000000000e+00,0.000000000000e+00,2.880003869307e+04,0.000000000000e+00,3.813852595449e-01,-1.630187034607e-05,-3.814015614153e-01
14400,2.880003887442e+04,2.880003887442e+04,1.920015552567e+04,9.599497274331e+03,0.000000000000e+00,0.000000000000e+00,2.880003885800e+04,0.000000000000e+00,3.860744172071e-01,1.642666757107e-05,-3.860579905377e-01
14600,2.880003899992e+04,2.880003899992e+04,1.920015902276e+04,9.599490196471e+03,0.000000000000e+00,0.000000000000e+00,2.880003899622e+04,0.000000000000e+00,3.897806898913e-01,3.702938556671e-06,-3.897769869509e-01
14800,2.880003893502e+04,2.880003893502e+04,1.920016236056e+04,9.599483498729e+03,0.000000000000e+00,0.000000000000e+00,2.880003893256e+04,0.000000000000e+00,3.930757294238e-01,2.454966306686e-06,-3.930732744557e-01
15000,2.880003919267e+04,2.880003919267e+04,1.920016498235e+04,9.599476417820e+03,0.000000000000e+00,0.000000000000e+00,2.880003919548e+04,0.000000000000e+00,3.977925029467e-01,-2.805143594742e-06,-3.977953080903e-01
15200,2.880003925786e+04,2.880003925786e+04,1.920016775914e+04,9.599469565175e+03,0.000000000000e+00,0.000000000000e+00,2.880003924704e+04,0.000000000000e+00,4.019335381126e-01,1.082196831703e-05,-4.019227161443e-01
15400,2.880003953494e+04,2.880003953494e+04,1.920017065134e+04,9.599464052701e+03,0.000000000000e+00,0.000000000000e+00,2.880003954345e+04,0.000000000000e+00,4.048308999099e-01,-8.508563041687e-06,-4.048394084748e-01
15600,2.880003951713e+04,2.880003951713e+04,1.920017264159e+04,9.599457500237e+03,0.000000000000e+00,0.000000000000e+00,2.880003951472e+04,0.000000000000e+00,4.093753050929e-01,2.413988113403e-06,-4.093728911030e-01
15800,2.880003965441e+04,2.880003965441e+04,1.920017460292e+04,9.599451109086e+03,0.000000000000e+00,0.000000000000e+00,2.880003964823e+04,0.000000000000e+00,4.139424023906e-01,6.170943379402e-06,-4.139362314454e-01
16000,2.880003930534e+04,2.880003930534e+04,1.920017629042e+04,9.599444671744e+03,0.000000000000e+00,0.000000000000e+00,2.880003929722e+04,0.000000000000e+00,4.183431740985e-01,8.113682270050e-06,-4.183350604144e-01
16200,2.880003908102e+04,2.880003908102e+04,1.920017838493e+04,9.599438605000e+03,0.000000000000e+00,0.000000000000e+00,2.880003908241e+04,0.000000000000e+00,4.220910901968e-01,-1.383945345879e-06,-4.220924741421e-01
16400,2.880003882830e+04,2.880003882830e+04,1.920018093083e+04,9.599433859746e+03,0.000000000000e+00,0.000000000000e+00,2.880003883260e+04,0.000000000000e+00,4.240377165879e-01,-4.308298230171e-06,-4.240420248861e-01
16600,2.880003847940e+04,2.880003847940e+04,1.920018321654e+04,9.599428302813e+03,0.000000000000e+00,0.000000000000e+00,2.880003847688e+04,0.000000000000e+00,4.269600464340e-01,2.510845661163e-06,-4.269575355866e-01
16800,2.880003830772e+04,2.880003830772e+04,1.920018576231e+04,9.599422598668e+03,0.000000000000e+00,0.000000000000e+00,2.880003829062e+04,0.000000000000e+00,4.299467428827e-01,1.710467040539e-05,-4.299296382123e-01
17000,2.880003778477e+04,2.880003778477e+04,1.920018839503e+04,9.599416209240e+03,0.000000000000e+00,0.000000000000e+00,2.880003777879e+04,0.000000000000e+00,4.331804977755e-01,5.977228283882e-06,-4.331745205491e-01
17200,2.880003742982e+04,2.880003742982e+04,1.920019061655e+04,9.599409233689e+03,0.000000000000e+00,0.000000000000e+00,2.880003742182e+04,0.000000000000e+00,4.375795848919e-01,8.001923561096e-06,-4.375715829665e-01
17400,2.880003661514e+04,2.880003661514e+04,1.920019324196e+04,9.599402930871e+03,0.000000000000e+00,0.000000000000e+00,2.880003661346e+04,0.000000000000e+00,4.404423049509e-01,1.674517989159e-06,-4.404406304311e-01
17600,2.880003649131e+04,2.880003649131e+04,1.920019603538e+04,9.599397222115e+03,0.000000000000e+00,0.000000000000e+00,2.880003650016e+04,0.000000000000e+00,4.432338097176e-01,-8.849427103996e-06,-4.432426591447e-01
17800,2.880003659817e+04,2.880003659817e+04,1.920019890052e+04,9.599391182444e+03,0.000000000000e+00,0.000000000000e+00,2.880003660196e+04,0.000000000000e+00,4.465152053344e-01,-3.788620233536e-06,-4.465189939547e-01
18000,2.880003662238e+04,2.880003662238e+04,1.920020126485e+04,9.599385231760e+03,0.000000000000e+00,0.000000000000e+00,2.880003662831e+04,0.000000000000e+00,4.501257657248e-01,-5.926936864853e-06,-4.501316926617e-01
18200,2.880003694361e+04,2.880003694361e+04,1.920020317139e+04,9.599380178246e+03,0.000000000000e+00,0.000000000000e+00,2.880003695524e+04,0.000000000000e+00,4.535939746274e-01,-1.162849366665e-05,-4.536056031211e-01
18400,2.880003744496e+04,2.880003744496e+04,1.920020472992e+04,9.599375302603e+03,0.000000000000e+00,0.000000000000e+00,2.880003745151e+04,0.000000000000e+00,4.574124411665e-01,-6.543472409248e-06,-4.574189846389e-01
18600,2.880003723860e+04,2.880003723860e+04,1.920020629961e+04,9.599370555498e+03,0.000000000000e+00,0.000000000000e+00,2.880003722769e+04,0.000000000000e+00,4.603834965674e-01,1.091323792934e-05,-4.603725833294e-01
18800,2.880003729964e+04,2.880003729964e+04,1.920020783279e+04,9.599366057058e+03,0.000000000000e+00,0.000000000000e+00,2.880003728849e+04,0.000000000000e+00,4.634097911639e-01,1.114979386330e-05,-4.633986413683e-01
19000,2.880003711940e+04,2.880003711940e+04,1.920021016108e+04,9.599360861105e+03,0.000000000000e+00,0.000000000000e+00,2.880003712231e+04,0.000000000000e+00,4.660972151323e-01,-2.911314368248e-06,-4.661001264467e-01
19200,2.880003748785e+04,2.880003748785e+04,1.920021174005e+04,9.599356006667e+03,0.000000000000e+00,0.000000000000e+00,2.880003749299e+04,0.000000000000e+00,4.697411367524e-01,-5.139037966728e-06,-4.697462757904e-01
19400,2.880003679700e+04,2.880003679700e+04,1.920021350664e+04,9.599351204213e+03,0.000000000000e+00,0.000000000000e+00,2.880003678143e+04,0.000000000000e+00,4.720861508322e-01,1.557357609272e-05,-4.720705772561e-01
19600,2.880003678744e+04,2.880003678744e+04,1.920021510893e+04,9.599347065475e+03,0.000000000000e+00,0.000000000000e+00,2.880003678298e+04,0.000000000000e+00,4.746130333824e-01,4.459172487259e-06,-4.746085742081e-01
19800,2.880003690418e+04,2.880003690418e+04,1.920021663413e+04,9.599342506496e+03,0.000000000000e+00,0.000000000000e+00,2.880003691393e+04,0.000000000000e+00,4.777635564042e-01,-9.749084711075e-06,-4.777733054871e-01
20000,2.880003648209e+04,2.880003648209e+04,1.920021856081e+04,9.599337270935e+03,0.000000000000e+00,0.000000000000e+00,2.880003647429e+04,0.000000000000e+00,4.806503419204e-01,7.798895239830e-06,-4.806425430252e-01
