class,quantity,n,mean,std,frac_pos,max_abs
pure_tau=1e-05,R_r,1382400,-2.075089492672e-10,7.820535579950e-08,5.433174189815e-01,3.427267074585e-07
pure_tau=1e-05,Rc1_b,1382400,-4.421238970572e-09,8.141876243570e-08,3.092281539352e-01,3.427267074585e-07
pure_tau=1e-05,Rc1_r,1382400,-5.156940431395e-09,7.906886150425e-08,3.071028645833e-01,3.427267074585e-07
pure_tau=1e-05,Req_b,1382400,4.896271195290e-09,9.915927345992e-09,7.865639467593e-01,4.470348358154e-08
pure_tau=1e-05,Req_r,1382400,4.949431483582e-09,9.690704994836e-09,7.775774016204e-01,4.656612873077e-08
pure_tau=1e-05,Rrec_b,1382400,-9.038583677125e-19,6.596743203264e-16,2.743127893519e-02,1.421020419390e-14
pure_tau=1e-05,Rrec_r,1382400,-1.453876590255e-18,6.783408159778e-16,2.831741898148e-02,1.420787315923e-14
pure_tau=1e-05,cc,1382400,1.666677952956e-02,6.236114388874e-02,1.204390914352e-01,2.500025033951e-01
pure_tau=1e-05,dacc_b,1382400,-7.503721891475e-10,7.377819388053e-08,4.909989872685e-01,3.818422555923e-07
pure_tau=1e-05,dacc_r,1382400,6.367150956653e-11,6.764037444019e-08,4.938114872685e-01,3.594905138016e-07
pure_tau=1e-05,net_b,1382400,2.986669288122e-08,1.714190250174e-06,2.997851562500e-01,5.304813385010e-06
pure_tau=1e-05,net_r,1382400,2.816791117997e-08,1.713915126979e-06,2.990436921296e-01,5.245208740234e-06
pure_tau=1e-07,R_b,1315136,1.926229132132e-10,8.115229542831e-08,5.446288444693e-01,3.427267074585e-07
pure_tau=1e-07,R_r,1315136,-7.183628121446e-10,7.829245818654e-08,5.418200094895e-01,3.427267074585e-07
pure_tau=1e-07,Rc1_b,1315136,-4.677574319257e-09,8.186890325579e-08,3.096911650202e-01,3.427267074585e-07
pure_tau=1e-07,Rc1_r,1315136,-5.646706803613e-09,7.918479094966e-08,3.058596221227e-01,3.427267074585e-07
pure_tau=1e-07,Req_b,1315136,4.870197232444e-09,9.902867254731e-09,7.857438318166e-01,4.470348358154e-08
pure_tau=1e-07,Req_r,1315136,4.928343991523e-09,9.679220020211e-09,7.766466738041e-01,4.656612873077e-08
pure_tau=1e-07,Rrec_b,1315136,2.615169484872e-20,1.905564855556e-17,1.622873984135e-02,1.321441913210e-15
pure_tau=1e-07,Rrec_r,1315136,-5.451009672689e-20,1.865068806080e-17,1.716400433111e-02,1.323016759217e-15
pure_tau=1e-07,cc,1315136,4.732652775809e-03,3.406978130042e-02,7.545303299431e-02,2.500012218952e-01
pure_tau=1e-07,dacc_b,1315136,-6.329675933584e-10,7.383629426812e-08,4.908640627281e-01,3.818422555923e-07
pure_tau=1e-07,dacc_r,1315136,2.628140046503e-10,6.730808625251e-08,4.935535184194e-01,3.594905138016e-07
pure_tau=1e-07,net_b,1315136,9.651456474246e-08,1.672877418021e-06,2.987554138888e-01,5.304813385010e-06
pure_tau=1e-07,net_r,1315136,9.529536625987e-08,1.673358411744e-06,2.976505851866e-01,5.245208740234e-06
