t,umax,urms,band_valid,liq_band,gas_band,n_mixed,dpdx_liq,dpdx_gas,r2_liq,r2_gas,Pc_dynamic,Pc_dynamic_thr085,Pc_dynamic_thr095,jump_in,jump_out,rho_res_liq,rho_res_gas,u_band_max,u_band_ut_rms,m_r,m_b,inj_r,inj_b,inj_m,closure_r,closure_b
29000,0.021218225359916687,0.0033623233903199434,1,"[12, 123]","[134, 486]",7,-5.051331766531488e-06,-5.260563288537905e-06,0.9938598291789019,0.9977316384190368,0.0030594459464377555,0.0030594459464377555,0.003066949169981459,0.000345766544342041,0.00025963783264160156,1.0,1.0,0.021218225359916687,0.003370728576555848,57811.38376554821,19362.76769713043,-13187.439430713654,13275.2710262537,95.86639821529388,-18.823196261866542,-3.496670876731514
30000,0.021222559735178947,0.0033634649589657784,1,"[12, 126]","[137, 486]",7,-5.0510472224486445e-06,-5.257952063028609e-06,0.9951535983007036,0.9976862636394387,0.0030581123003160515,0.0030581123003160515,0.0030655498906007606,0.00034555792808532715,0.0002601146697998047,1.0,1.0,0.021222559735178947,0.0033752911258488894,57340.72118910751,19828.61966534097,-13658.676920771599,13740.935095906258,90.54713267087936,-19.39810987911187,-3.6845694347139215
31000,0.021242765709757805,0.0033644388895481825,1,"[12, 129]","[140, 486]",7,-5.05722999665886e-06,-5.254073344288278e-06,0.9963737570006611,0.9976004035470254,0.0030565940062031727,0.0030565940062031727,0.0030640078225840917,0.0003447234630584717,0.0002606511116027832,1.0,1.0,0.021242765709757805,0.003378443419933319,56869.934565117,20294.597318486074,-14130.028036117554,14206.719457149506,85.21908503770828,-19.962601234554313,-3.8778613365684578
32000,0.02124539203941822,0.003365356009453535,1,"[12, 132]","[143, 486]",7,-5.068549725553383e-06,-5.249677229255378e-06,0.9974089947078607,0.9974694543711701,0.0030548812735712305,0.0030548812735712305,0.003062352303143112,0.00034314393997192383,0.0002612471580505371,1.0,1.0,0.02124539203941822,0.0033807598520070314,56399.020504717104,20760.735344920464,-14601.49968469143,14672.658565580845,79.91229736804962,-20.520189408533042,-4.076779339618952
33000,0.021269217133522034,0.00336654856801033,1,"[12, 135]","[146, 486]",7,-5.087057431665622e-06,-5.24654739503664e-06,0.9980505333509633,0.9972729978364971,0.003054215434334373,0.003054215434334373,0.0030617873599622647,0.0003413259983062744,0.00026172399520874023,1.0,1.0,0.021269217133522034,0.0033824597485363483,55927.98133799597,21226.993258412396,-15073.079261660576,15138.710604071617,74.59647274017334,-21.060599656542763,-4.282654340779118
34000,0.021279647946357727,0.003367421915754676,1,"[12, 138]","[149, 486]",7,-5.121794898364961e-06,-5.242461094403925e-06,0.9985061454175356,0.9970860397353978,0.003053918470940886,0.003053918470940886,0.003061599183952879,0.00033786892890930176,0.00026232004165649414,1.0,1.0,0.021279647946357727,0.003383152186870575,55456.823699654946,21693.40855695056,-15544.76155436039,15604.911979615688,69.31096988916397,-21.585254015335522,-4.496577334870381
35000,0.02128785289824009,0.0033680598717182875,1,"[12, 141]","[152, 486]",7,-5.172779666984059e-06,-5.239279249579615e-06,0.9985988692200057,0.9968874486178946,0.00305465816864664,0.00305465816864664,0.003062443677004034,0.0003331303596496582,0.0002625584602355957,1.0,1.0,0.02128785289824009,0.003383522853255272,54985.532172825915,22159.957176358825,-16016.571090579033,16071.240474700928,64.00946742296219,-22.10326340494794,-4.71670165789692
36000,0.021285152062773705,0.0033688724506646395,1,"[12, 144]","[155, 486]",7,-5.23382129015758e-06,-5.23785111099452e-06,0.9984551221092774,0.9966839879088505,0.003056798053976295,0.003056798053976295,0.0030647012445534916,0.0003275871276855469,0.0002627074718475342,1.0,1.0,0.021285152062773705,0.003384252544492483,54514.14412480219,22626.659364828873,-16488.471295118332,16537.714269459248,58.749406576156616,-22.615419920519344,-4.945095369625051
37000,0.021290834993124008,0.0033698342740535736,1,"[12, 147]","[158, 486]",7,-5.295666854285815e-06,-5.237612776374297e-06,0.9982441133376277,0.9964914808646178,0.003059787803699643,0.003059787803699643,0.0030678123331190355,0.0003222525119781494,0.0002626776695251465,1.0,1.0,0.021290834993124008,0.0033846681471914053,54042.62697354769,23093.480271468085,-16960.491015791893,17004.297806680202,53.46391135454178,-23.11798933958198,-5.182464787882054
38000,0.021304789930582047,0.0033703974913805723,1,"[12, 150]","[161, 486]",7,-5.3677513467612785e-06,-5.23697170815985e-06,0.9980619973951377,0.9963364494293975,0.0030629299484466466,0.0030629299484466466,0.003071093869903674,0.0003154277801513672,0.0002625584602355957,1.0,1.0,0.021304789930582047,0.003385054413229227,53570.987503206205,23560.4670570722,-17432.627856731415,17471.037120461464,48.20117449760437,-23.61535993761936,-5.429936610737059
