t,umax,urms,band_valid,liq_band,gas_band,n_mixed,dpdx_liq,dpdx_gas,r2_liq,r2_gas,Pc_dynamic,Pc_dynamic_thr085,Pc_dynamic_thr095,jump_in,jump_out,rho_res_liq,rho_res_gas,u_band_max,u_band_ut_rms,m_r,m_b,inj_r,inj_b,inj_m,closure_r,closure_b
21000,0.021356360986828804,0.004098236095160246,1,"[12, 110]","[123, 486]",9,-2.5227823891531395e-06,-2.7508345852566963e-06,0.9823779493071865,0.9917172002564759,0.0019320223152307081,0.0019320223152307081,0.0019320223152307081,0.00039198994636535645,0.0002675354480743408,1.0,1.0,0.013261285610496998,0.002537569496780634,91705.07738723714,26957.417824230302,-17493.37241846323,17597.631558597088,104.04715138673782,1.5501942996343132,0.21373436678550206
22000,0.022114858031272888,0.00411076657474041,1,"[12, 114]","[127, 486]",9,-3.157865040518491e-06,-2.7787359564960256e-06,0.9820504720125854,0.9927173936682508,0.0019639201787746696,0.0019570704051554144,0.0019639201787746696,0.0003504157066345215,0.00026485323905944824,1.0,1.0,0.014732968993484974,0.0028257814701646566,90807.60960610042,27849.720327404524,-18390.723452031612,18489.966433525085,99.49732482433319,1.6669418679666705,0.24610612056130776
23000,0.02340541034936905,0.004118549171835184,1,"[12, 118]","[130, 486]",8,-2.9020302901750265e-06,-2.7370078850239955e-06,0.9789923168826935,0.9785546896962194,0.0019405452959957437,0.0019405452959957437,0.0019473274423173481,0.00036156177520751953,0.00027188658714294434,1.0,1.0,0.015187026001513004,0.002322646090760827,89909.40948279714,28742.24303425972,-19288.80677038431,19382.524070501328,94.42743813991547,1.7837468185462058,0.28103624160576146
24000,0.020985538139939308,0.0041065700352191925,1,"[12, 121]","[134, 486]",9,-2.597285790700056e-06,-2.738491819282123e-06,0.9905602856676924,0.9907148002364919,0.0019276247435089933,0.0019276247435089933,0.0019276247435089933,0.0003864169120788574,0.00026726722717285156,1.0,1.0,0.01229285541921854,0.0024331652093678713,89009.36863990178,29635.36205888367,-20188.732335031033,20275.680134356022,88.09696888923645,1.8990250671922695,0.31807547235075617
25000,0.021568551659584045,0.004116866271942854,1,"[12, 125]","[138, 486]",9,-3.0527803401155523e-06,-2.7689554021224122e-06,0.9955477184995318,0.9870409040000789,0.0019536208955478473,0.0019536208955478473,0.0019536208955478473,0.0003542602062225342,0.00026217103004455566,1.0,1.0,0.013456424698233604,0.002558079781010747,88108.66314680518,30530.50826746747,-21089.325225889683,21170.86822718382,83.11976659297943,2.0116273051389726,0.359959716348385
26000,0.022543884813785553,0.00412893807515502,1,"[12, 129]","[142, 486]",9,-3.1054704145635736e-06,-2.7866066221680986e-06,0.9872648882746129,0.9916608676196904,0.0019619968558554635,0.0019549792858681303,0.0019619968558554635,0.0003498494625091553,0.0002613663673400879,1.0,1.0,0.015604296699166298,0.0028908755630254745,87207.43863973953,31426.06964214459,-21990.443190395832,22066.473889887333,78.01684165000916,2.11816986463964,0.4042477427428821
27000,0.02366076409816742,0.004135854542255402,1,"[12, 133]","[145, 486]",8,-2.571830394516797e-06,-2.7347101545603877e-06,0.9764974036887467,0.9766979509120033,0.0019188145148512081,0.0019188145148512081,0.0019257249710871172,0.00038185715675354004,0.0002690553665161133,1.0,1.0,0.015765059739351273,0.002317985286936164,86305.39030130173,32322.08570124212,-22892.385615170002,22962.53564107418,72.52970039844513,2.2240835282718763,0.44993983206222765
28000,0.021098485216498375,0.0041247038170695305,1,"[12, 136]","[149, 486]",9,-2.804309153161659e-06,-2.7512736231908915e-06,0.9955900887744027,0.9885065112120166,0.0019350176059576008,0.0019350176059576008,0.0019350176059576008,0.00037044286727905273,0.0002619624137878418,1.0,1.0,0.012564672157168388,0.0024488489143550396,85401.4272931838,33219.59561387812,-23796.247327148914,23860.09488171339,66.60378724336624,2.325379667279776,0.499267835271894
29000,0.02154632844030857,0.004134464543312788,1,"[12, 140]","[153, 486]",9,-3.187394977392493e-06,-2.7960721772413345e-06,0.9917554122520305,0.9860363711901575,0.0019693745382407535,0.0019693745382407535,0.0019693745382407535,0.00034540891647338867,0.0002556145191192627,1.0,1.0,0.013409530743956566,0.002575166989117861,84496.99137306538,34118.392225027615,-24700.581932127476,24758.94188416004,61.47874957323074,2.4266948071453953,0.5496591324263136
30000,0.022613737732172012,0.0041469004936516285,1,"[12, 144]","[157, 486]",9,-2.872746748966135e-06,-2.7912367698909634e-06,0.9914381314742172,0.9917867717319125,0.0019460225241630935,0.0019387336298924418,0.0019460225241630935,0.0003629624843597412,0.0002573728561401367,1.0,1.0,0.015772158280014992,0.0029077110812067986,83591.87774320421,35017.61919805886,-25605.601579725742,25658.223265886307,56.08647668361664,2.5206770700460766,0.6040678274439415
31000,0.023653842508792877,0.004153745248913765,1,"[12, 148]","[160, 486]",8,-2.504262875397545e-06,-2.734510322318788e-06,0.9777098158720179,0.9749836313333827,0.0019075625542552266,0.0019075625542552266,0.001914808036147797,0.00038686394691467285,0.00026470422744750977,1.0,1.0,0.01576749049127102,0.0023183166049420834,82685.71934421101,35917.77422127436,-26511.668967425823,26558.435303151608,50.56187480688095,2.611688363162102,0.6610818772460334
32000,0.021045062690973282,0.0041417707689106464,1,"[12, 151]","[164, 486]",9,-3.0283490264531097e-06,-2.7523267918497767e-06,0.9960805065240854,0.9889392043094154,0.0019475802954291854,0.0019475802954291854,0.0019475802954291854,0.000352323055267334,0.0002595484256744385,1.0,1.0,0.012440330348908901,0.0024417878594249487,81778.0222564947,36819.7590606515,-27419.271690905094,27460.479169249535,45.3208202123642,2.7060526002023835,0.7201085980341304
33000,0.02148757129907608,0.004151529166847467,1,"[12, 155]","[168, 486]",9,-3.1332497088509617e-06,-2.8030273294329736e-06,0.9904850987776163,0.9872265605183803,0.0019647026416175217,0.0019647026416175217,0.0019647026416175217,0.00034484267234802246,0.0002512931823730469,1.0,1.0,0.013385255821049213,0.002559434389695525,80869.43645068345,37722.3305005609,-28327.76197618246,28363.112078487873,39.7644522190094,2.801573134085629,0.7815779269731138
34000,0.022334637120366096,0.004164211452007294,1,"[12, 159]","[172, 486]",9,-2.8478569110340655e-06,-2.80478373181719e-06,0.9890746933415273,0.9904946899923371,0.0019433473101042598,0.001935650760929053,0.0019433473101042598,0.0003643035888671875,0.00025153160095214844,1.0,1.0,0.015133093111217022,0.002857068320736289,79960.1803730707,38625.49624181001,-29236.924660146236,29266.341557621956,34.11308813095093,2.8949667830602266,0.8453158119446016
35000,0.023371824994683266,0.0041711414232850075,1,"[12, 163]","[175, 486]",8,-2.563710971427093e-06,-2.7570739358388593e-06,0.9793011032464417,0.9706830670375387,0.001909085848955716,0.001909085848955716,0.0019169370694439025,0.00038444995880126953,0.00025582313537597656,1.0,1.0,0.015164060518145561,0.002318630227819085,79049.77679198436,39529.66936533135,-30147.24225741625,30170.57978308201,28.290894746780396,2.9809505993907806,0.9104177506596898
36000,0.024024304002523422,0.0041745565831661224,1,"[12, 166]","[179, 486]",9,-2.964718051172765e-06,-2.754626599849129e-06,0.9965480328504205,0.9825498837214766,0.0019421084831743873,0.0019421918855533904,0.0019421084831743873,0.00035455822944641113,0.0002569854259490967,1.0,1.0,0.01651214435696602,0.0024600978940725327,78138.63653410139,40435.78763899533,-31058.30516821146,31076.764113903046,23.64220952987671,3.058297687151935,0.9764749077148736
37000,0.021316302940249443,0.00416761776432395,1,"[12, 170]","[183, 486]",9,-3.0748716214534005e-06,-2.766137522464772e-06,0.9888010695777499,0.9889844808171278,0.0019524898453146533,0.0019524898453146533,0.0019524898453146533,0.0003459155559539795,0.00025385618209838867,1.0,1.0,0.013130425475537777,0.0025242178235203028,77226.10106580242,41342.47047732942,-31970.75869733095,31983.51575446129,18.150318264961243,3.1402368666313123,1.0452771318668965
38000,0.022041892632842064,0.0041785892099142075,1,"[12, 174]","[187, 486]",9,-2.9621484341141027e-06,-2.818786159529984e-06,0.9955903528572252,0.9873344248034758,0.0019527357730001471,0.0019527357730001471,0.0019527357730001471,0.00035566091537475586,0.00024572014808654785,1.0,1.0,0.014334914274513721,0.002683451632037759,76312.48028154415,42249.74993060105,-32884.30338317156,32890.86882174015,12.142435252666473,3.2163352842908353,1.1188911391000147
39000,0.022771520540118217,0.004187178798019886,1,"[12, 178]","[191, 486]",9,-2.735741586252046e-06,-2.8304692373065056e-06,0.9815870236952369,0.9857453115214488,0.001933751257169214,0.0019253570673463671,0.001933751257169214,0.0003737211227416992,0.0002428889274597168,1.0,1.0,0.01613662578165531,0.00294740148819983,75398.04192474646,43157.866645871094,-33798.66436523199,33799.0599488616,6.132483184337616,3.2937100215494866,1.1933029905048897
40000,0.02362191118299961,0.004193061031401157,1,"[12, 182]","[194, 486]",8,-2.795360222307001e-06,-2.8002568698026237e-06,0.9916435300178613,0.9664608803028719,0.0019287217720729832,0.0019287217720729832,0.001937040700824233,0.00036582350730895996,0.000244826078414917,1.0,1.0,0.01571953482925892,0.0023208463098853827,74482.77398585975,44067.664647625395,-34713.85373097658,34708.93620121479,0.9539370536804199,3.3722831636696355,1.2715535893948982
41000,0.026745369657874107,0.004187310580164194,1,"[12, 185]","[198, 486]",9,-2.9611618386163206e-06,-2.7264270245603445e-06,0.9930021284230477,0.9861758231097445,0.0019318640771635587,0.0019319752908296683,0.0019318640771635587,0.00035247206687927246,0.0002537667751312256,1.0,1.0,0.012115377932786942,0.002436521928757429,73566.85490529565,44978.41364573398,-35629.69632333517,35619.76514148712,-3.952729344367981,3.448771369177848,1.3514957531442633
