t,x_left,x_right,x_right_star,e_x,d,x_L_vol,x_R_vol,e_x_vol,E_psi
10750,81.76229,243.23824,81.761765,0.0005264282,-80.737976,83.13179779052734,242.8682632446289,1.00006103515625,7.040218139688174e-05
11000,81.76036,243.24017,81.75983,0.0005340576,-80.73991,83.13032531738281,242.86981201171875,1.0001373291015625,7.03334684173266e-05
11250,81.758606,243.24197,81.758026,0.000579834,-80.741684,83.1289291381836,242.87115478515625,1.0000839233398438,7.051980743805567e-05
11500,81.75684,243.24385,81.75615,0.0006942749,-80.7435,83.12754821777344,242.87255859375,1.0001068115234375,8.211566756169002e-05
11750,81.755066,243.2456,81.754395,0.0006713867,-80.74527,83.12623596191406,242.87380981445312,1.0000457763671875,7.266270617643992e-05
12000,81.753365,243.24738,81.752625,0.00074005127,-80.74701,83.12489318847656,242.87516021728516,1.0000534057617188,7.226158554355303e-05
12250,81.751564,243.2491,81.7509,0.0006637573,-80.748764,83.12362670898438,242.8764877319336,1.0001144409179688,7.87072628736496e-05
12500,81.74987,243.25078,81.74922,0.00064849854,-80.75046,83.12236022949219,242.87779998779297,1.0001602172851562,7.358906790614128e-05
12750,81.74813,243.25252,81.74748,0.00064849854,-80.7522,83.12098693847656,242.87909698486328,1.0000839233398438,7.753602539499601e-05
13000,81.74648,243.25412,81.74588,0.00060272217,-80.753815,83.11981201171875,242.88034057617188,1.000152587890625,7.800864055752754e-05
13250,81.74481,243.25578,81.74422,0.0005950928,-80.755486,83.11853790283203,242.88158416748047,1.0001220703125,7.106251393755277e-05
13500,81.74318,243.25743,81.74257,0.00061035156,-80.757126,83.11734008789062,242.8828125,1.000152587890625,7.149988164504369e-05
13750,81.74159,243.25899,81.74101,0.000579834,-80.7587,83.11618041992188,242.88394165039062,1.0001220703125,7.61019562681516e-05
14000,81.74,243.26056,81.73944,0.0005569458,-80.760284,83.114990234375,242.88519287109375,1.00018310546875,7.422029972076416e-05
14250,81.73845,243.26212,81.737885,0.0005645752,-80.76183,83.11378479003906,242.88626098632812,1.0000457763671875,7.287918279568354e-05
14500,81.73691,243.26364,81.73636,0.0005493164,-80.76337,83.11266326904297,242.88748168945312,1.0001449584960938,7.673500726620357e-05
14750,81.73541,243.26514,81.73486,0.0005493164,-80.76486,83.1115951538086,242.88858795166016,1.00018310546875,7.251802831888199e-05
15000,81.73393,243.26662,81.73338,0.0005493164,-80.76634,83.11046600341797,242.88970947265625,1.0001754760742188,7.162175451715787e-05
15250,81.73246,243.26808,81.73192,0.000541687,-80.76781,83.10942840576172,242.89077758789062,1.0002059936523438,7.572350402673085e-05
15500,81.73102,243.2695,81.7305,0.0005187988,-80.76924,83.10832977294922,242.8918228149414,1.000152587890625,7.188638672232628e-05
15750,81.72956,243.27095,81.72905,0.00051116943,-80.77069,83.10716247558594,242.8928985595703,1.00006103515625,7.522730777661006e-05
16000,81.72819,243.27235,81.727646,0.000541687,-80.77208,83.106201171875,242.89390563964844,1.0001068115234375,7.396021236975988e-05
16250,81.72682,243.27368,81.72632,0.00050354004,-80.77343,83.10514831542969,242.89495849609375,1.0001068115234375,7.431585962573687e-05
16500,81.72544,243.27507,81.72493,0.00051116943,-80.77481,83.10409545898438,242.89598846435547,1.0000839233398438,7.855929434299468e-05
16750,81.7241,243.27638,81.72362,0.00048065186,-80.77614,83.1031494140625,242.89697265625,1.0001220703125,7.751493404308955e-05
17000,81.72276,243.27773,81.722275,0.00048828125,-80.77748,83.1021728515625,242.89795684814453,1.0001296997070312,7.15639628469944e-05
17250,81.721466,243.27902,81.72098,0.00048828125,-80.77878,83.10128021240234,242.89884185791016,1.0001220703125,7.173864791790644e-05
17500,81.720215,243.28027,81.71973,0.00048828125,-80.78003,83.10017395019531,242.89996337890625,1.0001373291015625,7.67283762494723e-05
17750,81.71898,243.28152,81.718475,0.00050354004,-80.78127,83.09928131103516,242.90079498291016,1.0000762939453125,7.790507127841314e-05
18000,81.71773,243.28278,81.717224,0.00050354004,-80.782524,83.09834289550781,242.9017333984375,1.0000762939453125,7.285787413517634e-05
18250,81.71649,243.28401,81.71599,0.00050354004,-80.78376,83.0975112915039,242.90265655517578,1.0001678466796875,7.834574207663537e-05
18500,81.71527,243.28522,81.71478,0.00048828125,-80.78497,83.09660339355469,242.90353393554688,1.0001373291015625,7.784833510716756e-05
18750,81.71406,243.28642,81.71358,0.00048065186,-80.78618,83.09565734863281,242.9044418334961,1.0000991821289062,7.090466717878978e-05
19000,81.71291,243.28757,81.71243,0.00048065186,-80.78732,83.0948486328125,242.90528106689453,1.0001296997070312,7.054665436347325e-05
19250,81.711784,243.28868,81.71132,0.00046539307,-80.78845,83.09402465820312,242.9061050415039,1.0001296997070312,7.081307470798493e-05
19500,81.71071,243.28976,81.710236,0.00047302246,-80.78953,83.09315490722656,242.90707397460938,1.0002288818359375,7.917337119579315e-05
19750,81.70961,243.29085,81.70915,0.00045776367,-80.79062,83.09229278564453,242.9077911376953,1.0000839233398438,7.553103069464365e-05
20000,81.70849,243.29198,81.70802,0.00046539307,-80.79175,83.09146881103516,242.9086456298828,1.0001144409179688,7.888248190283775e-05
20250,81.70742,243.29305,81.706955,0.00046539307,-80.792816,83.09073638916016,242.909423828125,1.0001602172851562,7.512057200074196e-05
20500,81.70635,243.29413,81.70587,0.00048065186,-80.793884,83.08988952636719,242.9102325439453,1.0001220703125,7.141547898451487e-05
20750,81.7053,243.2952,81.7048,0.00049591064,-80.79495,83.08914184570312,242.91097259521484,1.0001144409179688,7.442813987533252e-05
21000,81.70424,243.29623,81.703766,0.00047302246,-80.796,83.08831787109375,242.9117202758789,1.0000381469726562,7.417437930901845e-05
21250,81.70321,243.29724,81.70276,0.00045013428,-80.79701,83.08757781982422,242.9125518798828,1.0001296997070312,7.329239199558895e-05
21500,81.70225,243.2982,81.7018,0.00045013428,-80.79797,83.08682250976562,242.91324615478516,1.0000686645507812,7.636672506729762e-05
21750,81.701355,243.2991,81.7009,0.00045776367,-80.798874,83.08614349365234,242.91395568847656,1.0000991821289062,7.526596387227376e-05
22000,81.70051,243.29994,81.70006,0.00045013428,-80.79971,83.08545684814453,242.91472625732422,1.00018310546875,7.391730323433877e-05
22250,81.699615,243.30086,81.69914,0.00047302246,-80.80062,83.08470916748047,242.91546630859375,1.0001754760742188,7.648559908072154e-05
22500,81.69867,243.30177,81.69823,0.00044250488,-80.80155,83.08403778076172,242.91615295410156,1.0001907348632812,7.553984100619952e-05
22750,81.69778,243.30269,81.69731,0.00046539307,-80.80246,83.08334350585938,242.91681671142578,1.0001602172851562,7.956242188811302e-05
23000,81.69687,243.3036,81.696396,0.00047302246,-80.80337,83.08269500732422,242.91753387451172,1.0002288818359375,8.028384298086166e-05
23250,81.69597,243.3045,81.695496,0.00047302246,-80.80427,83.08191680908203,242.9181137084961,1.000030517578125,8.020517105857531e-05
23500,81.69509,243.30537,81.694626,0.00046539307,-80.805145,83.08133697509766,242.9188003540039,1.0001373291015625,7.498119026422501e-05
23750,81.694244,243.30623,81.69377,0.00047302246,-80.80599,83.0806655883789,242.9194564819336,1.0001220703125,7.77123123407364e-05
24000,81.6934,243.30708,81.69292,0.00048065186,-80.80684,83.08003234863281,242.9200668334961,1.0000991821289062,7.582095762093862e-05
24250,81.69257,243.30792,81.69208,0.00049591064,-80.80768,83.07939910888672,242.92071533203125,1.0001144409179688,7.333466783165932e-05
24500,81.691734,243.30872,81.691284,0.00045013428,-80.80849,83.07878875732422,242.9212646484375,1.0000534057617188,7.706135511398315e-05
24750,81.69093,243.30952,81.690475,0.00045776367,-80.809296,83.07816314697266,242.92189025878906,1.0000534057617188,7.508299003044765e-05
25000,81.69017,243.3103,81.6897,0.00047302246,-80.81007,83.07765197753906,242.92247009277344,1.0001220703125,7.445286959409714e-05
25250,81.68943,243.31104,81.688965,0.00046539307,-80.81081,83.07695770263672,242.9231719970703,1.0001296997070312,7.93262446920077e-05
25500,81.68876,243.3117,81.68829,0.00046539307,-80.81148,83.07642364501953,242.92372131347656,1.0001449584960938,7.500325019160906e-05
25750,81.68814,243.3123,81.6877,0.00044250488,-80.81208,83.07586669921875,242.92428588867188,1.000152587890625,7.643577953179677e-05
26000,81.68753,243.31287,81.68713,0.00039672852,-80.81267,83.07518768310547,242.92491149902344,1.0000991821289062,8.15629338224729e-05
26250,81.68689,243.31346,81.68654,0.00035095215,-80.813286,83.07470703125,242.92544555664062,1.000152587890625,8.192325631777445e-05
26500,81.68629,243.31413,81.68587,0.0004196167,-80.81392,83.07408905029297,242.9260025024414,1.000091552734375,8.226066206892331e-05
26750,81.68563,243.31479,81.68521,0.0004196167,-80.814575,83.07352447509766,242.9265365600586,1.00006103515625,7.996860270698865e-05
27000,81.684975,243.31546,81.68454,0.0004348755,-80.81525,83.07304382324219,242.92697143554688,1.0000152587890625,8.004741743206977e-05
27250,81.684326,243.31612,81.68388,0.00044250488,-80.815895,83.07250213623047,242.92750549316406,1.0000076293945312,7.841369758049647e-05
27500,81.68369,243.31674,81.68326,0.0004348755,-80.81653,83.07206726074219,242.9280548095703,1.0001220703125,7.649450252453486e-05
27750,81.68306,243.31738,81.68262,0.00044250488,-80.81716,83.0715103149414,242.9285430908203,1.0000534057617188,8.173423508803049e-05
28000,81.68245,243.31798,81.68202,0.0004272461,-80.817764,83.07101440429688,242.9290008544922,1.0000152587890625,7.911996295054753e-05
28250,81.681854,243.31856,81.68144,0.0004119873,-80.81835,83.07054138183594,242.92957305908203,1.0001144409179688,8.182533706227938e-05
28500,81.68127,243.31914,81.68086,0.0004043579,-80.81894,83.06999206542969,242.93002319335938,1.0000152587890625,7.820262884100278e-05
28750,81.68067,243.31973,81.68027,0.0004043579,-80.819534,83.0696029663086,242.93047332763672,1.0000762939453125,7.892560834685962e-05
29000,81.68013,243.32025,81.67975,0.00038146973,-80.82006,83.06910705566406,242.93093872070312,1.0000457763671875,7.83730981250604e-05
29250,81.67963,243.32079,81.679214,0.0004119873,-80.82058,83.06866455078125,242.93138122558594,1.0000457763671875,8.058231323957444e-05
29500,81.679085,243.32132,81.67868,0.0004043579,-80.82112,83.06820678710938,242.93182373046875,1.000030517578125,7.817378267645836e-05
29750,81.67856,243.32184,81.67816,0.00039672852,-80.82164,83.06777954101562,242.9322967529297,1.0000762939453125,7.913198322057725e-05
30000,81.678055,243.32236,81.67764,0.0004119873,-80.82215,83.06729125976562,242.93270111083984,0.9999923706054688,8.071944117546081e-05
30250,81.67755,243.32285,81.677155,0.00039672852,-80.82265,83.06688690185547,242.9331283569336,1.0000152587890625,7.920823991298675e-05
30500,81.67707,243.32335,81.67665,0.0004196167,-80.823135,83.06649017333984,242.93362426757812,1.0001144409179688,8.40437908967336e-05
30750,81.67656,243.32385,81.67615,0.0004119873,-80.82365,83.06598663330078,242.9340057373047,0.9999923706054688,8.143909275531769e-05
31000,81.67609,243.3243,81.675705,0.00038146973,-80.824104,83.0655746459961,242.9344253540039,1.0,8.13621034224828e-05
31250,81.67566,243.3247,81.67529,0.00036621094,-80.824524,83.0651626586914,242.93485260009766,1.0000152587890625,8.152063315113385e-05
31500,81.67528,243.32509,81.67491,0.00036621094,-80.824905,83.06475067138672,242.93527221679688,1.0000228881835938,8.247954770922661e-05
31750,81.674904,243.32545,81.674545,0.00035858154,-80.82527,83.06433868408203,242.9356918334961,1.000030517578125,8.31851673622926e-05
32000,81.67456,243.32582,81.67418,0.00038146973,-80.82563,83.06393432617188,242.9361114501953,1.0000457763671875,8.384855464100837e-05
32250,81.674225,243.32616,81.67384,0.00038146973,-80.825966,83.06353759765625,242.9365234375,1.00006103515625,8.422682682673137e-05
32500,81.67388,243.32646,81.67354,0.00034332275,-80.826294,83.0631332397461,242.9368896484375,1.0000228881835938,8.499014501770337e-05
32750,81.67354,243.32677,81.67323,0.00030517578,-80.826614,83.0627212524414,242.937255859375,0.9999771118164062,8.598586544394493e-05
33000,81.6732,243.32713,81.67287,0.00033569336,-80.826965,83.06232452392578,242.9376220703125,0.9999465942382812,8.934068803985913e-05
33250,81.67286,243.32747,81.67253,0.00032806396,-80.8273,83.0619888305664,242.93804168701172,1.000030517578125,8.446233347058297e-05
33500,81.67253,243.32787,81.672134,0.00039672852,-80.82767,83.06163024902344,242.93838500976562,1.0000152587890625,8.501340945561727e-05
33750,81.672134,243.32823,81.67177,0.00036621094,-80.82805,83.06128692626953,242.9386749267578,0.9999618530273438,8.099856475989023e-05
34000,81.67174,243.32863,81.67137,0.00036621094,-80.828445,83.0608901977539,242.93907165527344,0.9999618530273438,8.281404773394266e-05
34250,81.67137,243.32901,81.67099,0.00038146973,-80.82882,83.06063079833984,242.93936920166016,1.0,7.957208901643753e-05
34500,81.67102,243.32938,81.67062,0.00039672852,-80.82918,83.06024932861328,242.9397201538086,0.999969482421875,8.385851979255676e-05
34750,81.67065,243.32974,81.67026,0.00038909912,-80.829544,83.05996704101562,242.94004821777344,1.0000152587890625,7.956974829236667e-05
35000,81.67027,243.33011,81.66989,0.00038146973,-80.82992,83.05965423583984,242.94031524658203,0.999969482421875,8.053509518504142e-05
35250,81.66991,243.33047,81.669525,0.00038146973,-80.830284,83.05935668945312,242.94064331054688,1.0,7.825089618563652e-05
35500,81.66956,243.33083,81.669174,0.00038909912,-80.83063,83.05905151367188,242.94097137451172,1.0000228881835938,8.148320640126864e-05
35750,81.66921,243.33118,81.66882,0.00038909912,-80.83098,83.05876922607422,242.94123077392578,1.0,7.984109222888947e-05
36000,81.66888,243.3315,81.6685,0.00037384033,-80.831314,83.05839538574219,242.94161987304688,1.0000152587890625,8.921187371015549e-05
36250,81.66854,243.33183,81.66817,0.00037384033,-80.83165,83.0581283569336,242.9418487548828,0.9999771118164062,8.03610309958458e-05
36500,81.66818,243.33217,81.66783,0.00035095215,-80.83199,83.05781555175781,242.94217681884766,0.9999923706054688,8.557542537649472e-05
36750,81.66788,243.3325,81.667496,0.00038146973,-80.83231,83.05754089355469,242.9424057006836,0.9999465942382812,8.240869889656703e-05
37000,81.66756,243.33284,81.66716,0.00039672852,-80.83264,83.05725860595703,242.94269561767578,0.9999542236328125,8.185019095738728e-05
37250,81.66723,243.33316,81.66684,0.00038909912,-80.83296,83.05692291259766,242.94297790527344,0.9999008178710938,8.621898790200551e-05
37500,81.6669,243.33348,81.66652,0.00038146973,-80.83329,83.05670928955078,242.94326782226562,0.9999771118164062,8.035774032274881e-05
37750,81.66658,243.33377,81.66623,0.00035095215,-80.833595,83.05644989013672,242.94355010986328,1.0,8.583550651868185e-05
38000,81.66628,243.33406,81.66594,0.00034332275,-80.83389,83.0561752319336,242.94383239746094,1.0000076293945312,8.664471407731374e-05
38250,81.66604,243.33432,81.66568,0.00035858154,-80.83414,83.05592346191406,242.94407653808594,1.0,8.552767957250277e-05
38500,81.66576,243.33461,81.66539,0.00036621094,-80.83443,83.05561828613281,242.9443359375,0.9999542236328125,8.701319495836894e-05
38750,81.66544,243.3349,81.6651,0.00034332275,-80.83473,83.05533599853516,242.9445343017578,0.9998703002929688,8.163219317793846e-05
39000,81.66516,243.33519,81.66481,0.00035095215,-80.835014,83.05512237548828,242.94478607177734,0.999908447265625,8.398937061429023e-05
