t,V_bin,V_cont,gas_mass_proxy,n_clusters,largest,rho_gas_mean,p_gas_mean,G_bulk,env_L,env_R,buf_gas_L,buf_gas_R,rho_min_bulk,rho_max_bulk,umax,urms,rho_min_allfluid,rho_max_allfluid
31000,38400,38368.52734375,38497.96875,1,38400,1.0033057928085327,0.3344352642695109,146,79,246,288,288,0.938456654548645,1.0071989297866821,0.02518705651164055,0.0015036776894703507,0.8895429372787476,1.0071989297866821
32000,38400,38369.328125,38498.77734375,1,38400,1.0033079385757446,0.33443597952524823,146,79,246,288,288,0.9383572340011597,1.007200002670288,0.025191834196448326,0.0015039052814245224,0.8895789384841919,1.007200002670288
33000,38400,38370.07421875,38499.53515625,1,38400,1.0033103227615356,0.3344367742538452,146,79,246,288,288,0.9382746815681458,1.0072014331817627,0.025196991860866547,0.0015039427671581507,0.8896077275276184,1.0072014331817627
34000,38400,38370.76171875,38500.2421875,1,38400,1.0033127069473267,0.3344375689824422,146,79,246,288,288,0.9381875991821289,1.0072001218795776,0.02522178366780281,0.001504369080066681,0.8896501660346985,1.0072001218795776
35000,38400,38371.35546875,38500.8828125,1,38400,1.0033153295516968,0.3344384431838989,146,79,246,288,288,0.9380828142166138,1.0071977376937866,0.025257905945181847,0.0015041654696688056,0.8896956443786621,1.0071977376937866
36000,38400,38371.97265625,38501.49609375,1,38400,1.0033169984817505,0.3344389994939168,146,79,246,288,288,0.9379835724830627,1.0071945190429688,0.0252859964966774,0.0015043570892885327,0.8897409439086914,1.0071945190429688
37000,38400,38372.5078125,38502.07421875,1,38400,1.0033198595046997,0.3344399531682332,146,79,246,288,288,0.9379053115844727,1.0071901082992554,0.025209102779626846,0.0015039595309644938,0.8897843360900879,1.0071901082992554
38000,38400,38373.03515625,38502.609375,1,38400,1.0033211708068848,0.3344403902689616,146,79,246,288,288,0.9378128051757812,1.0071552991867065,0.02518969215452671,0.0015042481245473027,0.8898245692253113,1.0071552991867065
39000,38400,38373.515625,38503.1171875,1,38400,1.003322958946228,0.33444098631540936,146,79,246,288,288,0.9377300143241882,1.007190227508545,0.025202982127666473,0.0015036509139463305,0.8898573517799377,1.007190227508545
40000,38400,38373.9921875,38503.59765625,1,38400,1.0033245086669922,0.3344415028889974,146,79,246,288,288,0.9376630783081055,1.0071616172790527,0.025224365293979645,0.0015036844415590167,0.8898903131484985,1.0071616172790527
41000,38400,38374.42578125,38504.05859375,1,38400,1.0033262968063354,0.33444209893544513,146,79,246,288,288,0.9375981092453003,1.0071207284927368,0.025242209434509277,0.0015044360188767314,0.8899257779121399,1.0071207284927368
42000,38400,38374.8359375,38504.48046875,1,38400,1.0033280849456787,0.3344426949818929,146,79,246,288,288,0.937522292137146,1.0071715116500854,0.025277599692344666,0.0015037435805425048,0.8899579048156738,1.0071715116500854
43000,38400,38375.21484375,38504.88671875,1,38400,1.003329873085022,0.33444329102834064,146,79,246,288,288,0.9374613761901855,1.0071508884429932,0.025394126772880554,0.0015050836373120546,0.8899878859519958,1.0071508884429932
44000,38400,38375.59375,38505.26953125,1,38400,1.0033308267593384,0.3344436089197795,146,79,246,288,288,0.9373964667320251,1.007171392440796,0.02540138177573681,0.0015051581431180239,0.8900113701820374,1.007171392440796
45000,38400,38375.91796875,38505.609375,1,38400,1.003332257270813,0.3344440857569377,146,79,246,288,288,0.9373404383659363,1.007187008857727,0.025446675717830658,0.0015040913131088018,0.8900419473648071,1.007187008857727
46000,38400,38376.23046875,38505.95703125,1,38400,1.0033338069915771,0.3344446023305257,146,79,246,288,288,0.937283992767334,1.0071293115615845,0.025469742715358734,0.0015044091269373894,0.8900647163391113,1.0071293115615845
47000,38400,38376.546875,38506.265625,1,38400,1.003334403038025,0.334444801012675,146,79,246,288,288,0.9372367262840271,1.0071388483047485,0.025520121678709984,0.0015056220581755042,0.8900883197784424,1.0071388483047485
48000,38400,38376.8203125,38506.5625,1,38400,1.0033358335494995,0.3344452778498332,146,79,246,288,288,0.93719083070755,1.0070563554763794,0.025550760328769684,0.0015047859633341432,0.8901097774505615,1.0070563554763794
49000,38400,38377.1171875,38506.87109375,1,38400,1.0033369064331055,0.33444563547770184,146,79,246,288,288,0.9371536374092102,1.007056713104248,0.02555539831519127,0.0015050452202558517,0.8901240825653076,1.007056713104248
50000,38400,38377.390625,38507.140625,1,38400,1.0033377408981323,0.33444591363271076,146,79,246,288,288,0.9371594786643982,1.0070573091506958,0.025557292625308037,0.0015051516238600016,0.8901342749595642,1.0070573091506958
51000,38400,38377.64453125,38507.40234375,1,38400,1.0033384561538696,0.33444615205128986,146,79,246,288,288,0.9374163746833801,1.0070570707321167,0.025558920577168465,0.001505273743532598,0.8901440501213074,1.0070570707321167
52000,38400,38377.8828125,38507.63671875,1,38400,1.0033389329910278,0.3344463109970093,146,79,246,288,288,0.9373934268951416,1.0070576667785645,0.025560203939676285,0.0015053341630846262,0.8901547193527222,1.0070576667785645
53000,38400,38378.1015625,38507.859375,1,38400,1.0033396482467651,0.3344465494155884,146,79,246,288,288,0.9373735189437866,1.007057785987854,0.025561485439538956,0.001505428459495306,0.8901631832122803,1.007057785987854
54000,38400,38378.30859375,38508.06640625,1,38400,1.0033401250839233,0.3344467083613078,146,79,246,288,288,0.9373540878295898,1.0070579051971436,0.02556253969669342,0.0015054746763780713,0.8901721239089966,1.0070579051971436
55000,38400,38378.49609375,38508.2578125,1,38400,1.0033406019210815,0.33444686730702716,146,79,246,288,288,0.937336802482605,1.0070581436157227,0.025563672184944153,0.0015055460389703512,0.8901796936988831,1.0070581436157227
56000,38400,38378.66796875,38508.44140625,1,38400,1.0033411979675293,0.33444706598917645,146,79,246,288,288,0.9373201727867126,1.0070583820343018,0.025564471259713173,0.0015055909752845764,0.8901873826980591,1.0070583820343018
57000,38400,38378.84375,38508.609375,1,38400,1.0033416748046875,0.3344472249348958,146,79,246,288,288,0.9373047947883606,1.0070582628250122,0.025565490126609802,0.0015056557022035122,0.8901938796043396,1.0070582628250122
58000,38400,38379.0,38508.76171875,1,38400,1.0033420324325562,0.33444734414418537,146,79,246,288,288,0.9372897744178772,1.0070587396621704,0.02556614950299263,0.0015056818956509233,0.890201210975647,1.0070587396621704
59000,38400,38379.14453125,38508.90625,1,38400,1.0033425092697144,0.3344475030899048,146,79,246,288,288,0.9372742176055908,1.0070583820343018,0.025567086413502693,0.0015057543059810996,0.8902075290679932,1.0070583820343018
60000,38400,38379.28515625,38509.05078125,1,38400,1.0033427476882935,0.33444758256276447,146,79,246,288,288,0.9372606873512268,1.0070583820343018,0.02556774765253067,0.0015057653654366732,0.8902137875556946,1.0070583820343018
