step,Mff,MFF,Mr,Mb,Mracc,Mbacc,Mrho,fF_maxdiff,d_fc_abs,d_frho_abs,d_crho_abs
12200,2.880533002345e+04,2.880533002345e+04,1.920175528576e+04,9.601500346926e+03,0.000000000000e+00,0.000000000000e+00,2.880533003950e+04,0.000000000000e+00,2.074390763992e+00,-1.605041325092e-05,-2.074406814405e+00
12400,2.880541976923e+04,2.880541976923e+04,1.920178048061e+04,9.601517459245e+03,0.000000000000e+00,0.000000000000e+00,2.880541979086e+04,0.000000000000e+00,2.121829380854e+00,-2.163276076317e-05,-2.121851013617e+00
12600,2.880550962250e+04,2.880550962250e+04,1.920180586755e+04,9.601535000359e+03,0.000000000000e+00,0.000000000000e+00,2.880550963277e+04,0.000000000000e+00,2.168754589220e+00,-1.027062535286e-05,-2.168764859845e+00
12800,2.880559928424e+04,2.880559928424e+04,1.920183096365e+04,9.601552987218e+03,0.000000000000e+00,0.000000000000e+00,2.880559929585e+04,0.000000000000e+00,2.215333378932e+00,-1.160986721516e-05,-2.215344988799e+00
13000,2.880568958271e+04,2.880568958271e+04,1.920185573714e+04,9.601570245585e+03,0.000000000000e+00,0.000000000000e+00,2.880568959320e+04,0.000000000000e+00,2.263599984943e+00,-1.049041748047e-05,-2.263610475362e+00
13200,2.880577953440e+04,2.880577953440e+04,1.920187985224e+04,9.601587674880e+03,0.000000000000e+00,0.000000000000e+00,2.880577956408e+04,0.000000000000e+00,2.312007282921e+00,-2.968311309814e-05,-2.312036966032e+00
13400,2.880586971702e+04,2.880586971702e+04,1.920190420277e+04,9.601605371834e+03,0.000000000000e+00,0.000000000000e+00,2.880586972374e+04,0.000000000000e+00,2.360142411620e+00,-6.720423698425e-06,-2.360149132044e+00
13600,2.880595781874e+04,2.880595781874e+04,1.920192945802e+04,9.601622793759e+03,0.000000000000e+00,0.000000000000e+00,2.880595782238e+04,0.000000000000e+00,2.405566960890e+00,-3.647059202194e-06,-2.405570607949e+00
13800,2.880604669383e+04,2.880604669383e+04,1.920195433020e+04,9.601639997210e+03,0.000000000000e+00,0.000000000000e+00,2.880604673392e+04,0.000000000000e+00,2.452366414131e+00,-4.008784890175e-05,-2.452406501980e+00
14000,2.880613607590e+04,2.880613607590e+04,1.920197790139e+04,9.601657793021e+03,0.000000000000e+00,0.000000000000e+00,2.880613607174e+04,0.000000000000e+00,2.500381494448e+00,4.159286618233e-06,-2.500377335164e+00
14200,2.880622499655e+04,2.880622499655e+04,1.920200213486e+04,9.601675372590e+03,0.000000000000e+00,0.000000000000e+00,2.880622502369e+04,0.000000000000e+00,2.547489097002e+00,-2.713687717915e-05,-2.547516233877e+00
14400,2.880631550804e+04,2.880631550804e+04,1.920202612481e+04,9.601693221221e+03,0.000000000000e+00,0.000000000000e+00,2.880631550366e+04,0.000000000000e+00,2.596162009177e+00,4.382804036140e-06,-2.596157626373e+00
14600,2.880640456380e+04,2.880640456380e+04,1.920204960278e+04,9.601711566417e+03,0.000000000000e+00,0.000000000000e+00,2.880640460312e+04,0.000000000000e+00,2.643394603325e+00,-3.932788968086e-05,-2.643433931215e+00
14800,2.880649344126e+04,2.880649344126e+04,1.920207358948e+04,9.601729492968e+03,0.000000000000e+00,0.000000000000e+00,2.880649346942e+04,0.000000000000e+00,2.690358818130e+00,-2.815574407578e-05,-2.690386973874e+00
15000,2.880658278280e+04,2.880658278280e+04,1.920209794121e+04,9.601747726594e+03,0.000000000000e+00,0.000000000000e+00,2.880658278900e+04,0.000000000000e+00,2.737115000902e+00,-6.202608346939e-06,-2.737121203510e+00
15200,2.880667184686e+04,2.880667184686e+04,1.920212120586e+04,9.601765421387e+03,0.000000000000e+00,0.000000000000e+00,2.880667186457e+04,0.000000000000e+00,2.785219609399e+00,-1.771003007889e-05,-2.785237319429e+00
15400,2.880676183914e+04,2.880676183914e+04,1.920214562798e+04,9.601783206378e+03,0.000000000000e+00,0.000000000000e+00,2.880676185262e+04,0.000000000000e+00,2.833004787453e+00,-1.347996294498e-05,-2.833018267418e+00
15600,2.880685230598e+04,2.880685230598e+04,1.920216977747e+04,9.601800753729e+03,0.000000000000e+00,0.000000000000e+00,2.880685230798e+04,0.000000000000e+00,2.881774780333e+00,-1.998618245125e-06,-2.881776778951e+00
15800,2.880694229645e+04,2.880694229645e+04,1.920219278529e+04,9.601818068411e+03,0.000000000000e+00,0.000000000000e+00,2.880694231892e+04,0.000000000000e+00,2.931442748477e+00,-2.247095108032e-05,-2.931465219430e+00
16000,2.880703128026e+04,2.880703128026e+04,1.920221567066e+04,9.601835603684e+03,0.000000000000e+00,0.000000000000e+00,2.880703127271e+04,0.000000000000e+00,2.980005916779e+00,7.549300789833e-06,-2.979998367478e+00
16200,2.880712177642e+04,2.880712177642e+04,1.920223855498e+04,9.601853132586e+03,0.000000000000e+00,0.000000000000e+00,2.880712179941e+04,0.000000000000e+00,3.030088854994e+00,-2.299249172211e-05,-3.030111847485e+00
16400,2.880721104217e+04,2.880721104217e+04,1.920226243863e+04,9.601870506240e+03,0.000000000000e+00,0.000000000000e+00,2.880721105409e+04,0.000000000000e+00,3.078097298436e+00,-1.191720366478e-05,-3.078109215639e+00
16600,2.880730048442e+04,2.880730048442e+04,1.920228573126e+04,9.601887516797e+03,0.000000000000e+00,0.000000000000e+00,2.880730048776e+04,0.000000000000e+00,3.127236358745e+00,-3.341585397720e-06,-3.127239700330e+00
16800,2.880739108666e+04,2.880739108666e+04,1.920230913473e+04,9.601904677820e+03,0.000000000000e+00,0.000000000000e+00,2.880739109576e+04,0.000000000000e+00,3.177274105688e+00,-9.097158908844e-06,-3.177283202847e+00
17000,2.880748097750e+04,2.880748097750e+04,1.920233294204e+04,9.601921937992e+03,0.000000000000e+00,0.000000000000e+00,2.880748099613e+04,0.000000000000e+00,3.226097472369e+00,-1.863203942776e-05,-3.226116104408e+00
17200,2.880757139347e+04,2.880757139347e+04,1.920235643688e+04,9.601939418302e+03,0.000000000000e+00,0.000000000000e+00,2.880757140851e+04,0.000000000000e+00,3.275538289005e+00,-1.503527164459e-05,-3.275553324274e+00
17400,2.880766075404e+04,2.880766075404e+04,1.920237899341e+04,9.601956023914e+03,0.000000000000e+00,0.000000000000e+00,2.880766078442e+04,0.000000000000e+00,3.325736719500e+00,-3.038160502911e-05,-3.325767101105e+00
17600,2.880775083927e+04,2.880775083927e+04,1.920240245760e+04,9.601972148501e+03,0.000000000000e+00,0.000000000000e+00,2.880775085819e+04,0.000000000000e+00,3.376233168035e+00,-1.891516149044e-05,-3.376252083195e+00
17800,2.880783992851e+04,2.880783992851e+04,1.920242542113e+04,9.601988608258e+03,0.000000000000e+00,0.000000000000e+00,2.880783995724e+04,0.000000000000e+00,3.425899126209e+00,-2.872571349144e-05,-3.425927851924e+00
18000,2.880793007001e+04,2.880793007001e+04,1.920244836879e+04,9.602005479167e+03,0.000000000000e+00,0.000000000000e+00,2.880793010950e+04,0.000000000000e+00,3.476222053869e+00,-3.949180245399e-05,-3.476261545671e+00
18200,2.880802082626e+04,2.880802082626e+04,1.920247163358e+04,9.602022298421e+03,0.000000000000e+00,0.000000000000e+00,2.880802085143e+04,0.000000000000e+00,3.526894251214e+00,-2.517737448215e-05,-3.526919428587e+00
18400,2.880811205946e+04,2.880811205946e+04,1.920249519685e+04,9.602039433656e+03,0.000000000000e+00,0.000000000000e+00,2.880811209548e+04,0.000000000000e+00,3.577428954359e+00,-3.601424396038e-05,-3.577464968603e+00
18600,2.880820180454e+04,2.880820180454e+04,1.920251884944e+04,9.602056738800e+03,0.000000000000e+00,0.000000000000e+00,2.880820179600e+04,0.000000000000e+00,3.626216303492e+00,8.547678589821e-06,-3.626207755813e+00
18800,2.880829208163e+04,2.880829208163e+04,1.920254269693e+04,9.602073782471e+03,0.000000000000e+00,0.000000000000e+00,2.880829210973e+04,0.000000000000e+00,3.675602227624e+00,-2.809613943100e-05,-3.675630323763e+00
19000,2.880838179371e+04,2.880838179371e+04,1.920256686762e+04,9.602091088368e+03,0.000000000000e+00,0.000000000000e+00,2.880838183033e+04,0.000000000000e+00,3.723837722902e+00,-3.662332892418e-05,-3.723874346229e+00
19200,2.880847093862e+04,2.880847093862e+04,1.920259060430e+04,9.602108806554e+03,0.000000000000e+00,0.000000000000e+00,2.880847096801e+04,0.000000000000e+00,3.771527762106e+00,-2.938695251942e-05,-3.771557149059e+00
19400,2.880856070442e+04,2.880856070442e+04,1.920261415753e+04,9.602126305435e+03,0.000000000000e+00,0.000000000000e+00,2.880856070942e+04,0.000000000000e+00,3.820241458965e+00,-4.991888999939e-06,-3.820246450854e+00
