x,Req_r,R_r,dacc_r,net_r,cc,chi
81,2.210372653992e-09,-1.620197587687e-09,-4.622869301533e-11,4.416693379914e-06,3.262187927350e-05,-7.907816689277e-05
82,3.901263024064e-09,1.417736158423e-09,-4.892817873886e-11,3.895606251730e-06,3.706730317901e-05,-7.736109502581e-05
83,3.039114771114e-09,1.156223478956e-09,-7.626047168953e-10,3.400326207064e-06,5.053259559063e-05,-6.953095586141e-05
84,2.477621740621e-09,-2.461593544138e-10,-5.485017554484e-10,2.891149209893e-06,7.456754916328e-05,-4.974834423958e-05
85,2.529586840799e-09,4.875946088114e-11,3.829895370248e-10,2.388008262800e-06,1.165353438169e-04,-1.555698930046e-05
86,3.299108989861e-09,2.540890937266e-10,-1.361553111802e-10,1.890082722125e-06,1.774438101043e-04,3.988522418909e-05
87,3.590316012286e-09,-9.988097177036e-11,-6.905621916488e-10,1.391795450363e-06,2.647372666164e-04,1.192444913565e-04
88,4.426312997289e-09,2.083665542844e-10,2.119096292966e-10,8.988909531331e-07,3.791432854783e-04,2.262020309872e-04
89,3.565683205059e-09,-2.567885794501e-10,-1.212406525577e-09,4.116769718087e-07,5.274209175042e-04,3.652061653468e-04
90,3.055311685455e-09,1.587635041147e-10,-4.557069337022e-10,-6.909603657930e-08,7.147508957584e-04,5.413562050504e-04
91,2.628286787565e-09,2.581383223119e-10,-1.328484411689e-09,-5.401131035625e-07,9.539978131443e-04,7.654472504277e-04
92,9.063692034587e-09,-4.155520835648e-10,-1.076926085828e-09,-1.008290311565e-06,1.255825728697e-03,1.052669556079e-03
93,1.119038063115e-08,-1.047737896442e-09,5.196510017782e-11,-1.475911425508e-06,1.616817817735e-03,1.410231559946e-03
94,1.110079144870e-08,-2.176629082448e-09,-1.584260683993e-09,-1.941318961157e-06,2.044141172835e-03,1.811222763423e-03
95,1.194640535159e-08,-1.695445752230e-09,-9.156318138475e-10,-2.404998825944e-06,3.452668276714e-03,2.419793842001e-03
96,1.202114736256e-08,-5.463084232980e-10,-2.278703386369e-09,-3.265076573344e-06,5.003755992550e-02,7.131890768949e-03
97,1.136812489426e-08,-6.310047878735e-10,-1.380829127047e-09,-4.063514263734e-06,7.512975202381e-02,2.507038286994e-02
98,1.052723509138e-08,-1.438621583857e-09,-8.907775644321e-10,-7.238484703112e-06,1.036996559680e-01,2.922043584224e-02
99,9.493121161949e-09,5.220657761168e-10,-9.073185050300e-10,-1.455759460889e-05,1.214815326654e-01,3.554234529993e-02
100,8.693780767752e-09,-4.914309629121e-10,-8.458343565007e-10,-1.734251905557e-05,1.517619850495e-01,3.870920578983e-02
101,8.452761046984e-09,3.265872725235e-10,-2.146249824563e-09,-1.876523062980e-05,1.739680591552e-01,4.373287343594e-02
102,7.804973486837e-09,-5.371946625982e-10,-1.211079743000e-09,-2.092774619390e-05,2.032605659306e-01,4.891148540091e-02
103,7.086189152329e-09,-9.217214432370e-10,-2.856641856839e-10,-2.193332796293e-05,2.696572501513e-01,6.239196383208e-02
104,4.117470324758e-09,-3.062612901755e-10,5.185586697886e-10,-3.202880247691e-05,3.603191945351e-01,9.726212322622e-02
