x,Req_r,R_r,dacc_r,net_r,cc,chi
34,1.089582737121e-08,-3.091473546293e-09,-2.463800936109e-09,-8.066857440604e-07,8.463364184216e-07,1.441677410266e-11
35,1.078531365945e-08,1.078531365945e-08,-1.702129439865e-08,-6.981556200319e-07,0.000000000000e+00,1.034163010717e-12
36,1.100828133834e-08,1.100828133834e-08,-9.474590317243e-09,-5.706575595670e-07,0.000000000000e+00,1.922164072137e-12
37,9.890209184960e-09,9.890209184960e-09,-1.205173450419e-08,-4.222823513879e-07,0.000000000000e+00,2.766844999906e-12
38,9.968627839246e-09,9.968627839246e-09,1.791502452559e-09,-2.605737083488e-07,0.000000000000e+00,3.559985459612e-12
39,1.060697185393e-08,1.060697185393e-08,1.136181203441e-08,-9.718868467543e-08,0.000000000000e+00,4.298396198179e-12
40,9.390593428786e-09,9.390593428786e-09,-1.268215580947e-08,7.186188466019e-08,0.000000000000e+00,4.977980609371e-12
41,9.213302594920e-09,9.213302594920e-09,-1.712081333001e-08,2.422344146503e-07,0.000000000000e+00,5.592763995093e-12
42,8.590642311093e-09,8.590642311093e-09,-1.209328830656e-08,4.149042069912e-07,0.000000000000e+00,6.135692558360e-12
43,8.244630104552e-09,8.244630104552e-09,-6.668172621479e-09,5.649997749262e-07,0.000000000000e+00,6.599724368428e-12
44,8.481341258933e-09,8.481341258933e-09,-1.117336473221e-08,6.850757118728e-07,0.000000000000e+00,6.978569181456e-12
45,8.918302935652e-09,8.918302935652e-09,1.615028142826e-08,7.879221811891e-07,0.000000000000e+00,7.267054056792e-12
46,7.882125727418e-09,7.882125727418e-09,-7.533849889619e-10,8.563252372874e-07,0.000000000000e+00,7.461266104844e-12
47,6.828486220911e-09,6.828486220911e-09,-1.314199633069e-09,8.867044622699e-07,0.000000000000e+00,7.558590429010e-12
48,7.180885101358e-09,7.180885101358e-09,-1.830630935729e-09,8.899640912811e-07,0.000000000000e+00,7.557721521028e-12
49,7.681228453293e-09,7.681228453293e-09,4.723713371075e-10,8.606972793738e-07,0.000000000000e+00,7.458665413854e-12
50,8.401952476965e-09,8.401952476965e-09,1.077819938978e-08,7.873426915871e-07,0.000000000000e+00,7.262746785193e-12
51,8.801887613825e-09,8.801887613825e-09,-1.702291127812e-08,6.824059204923e-07,0.000000000000e+00,6.972618507471e-12
52,9.179186438107e-09,9.179186438107e-09,-1.452523671711e-08,5.581260969241e-07,0.000000000000e+00,6.592262809604e-12
53,8.823958018588e-09,8.823958018588e-09,-1.753627050978e-08,4.179103093015e-07,0.000000000000e+00,6.126962681011e-12
