step,Mff,MFF,Mr,Mb,Mracc,Mbacc,Mrho,fF_maxdiff,d_fc_abs,d_frho_abs,d_crho_abs
15400,2.879999366402e+04,2.879999366402e+04,1.920018174316e+04,9.599816278238e+03,0.000000000000e+00,0.000000000000e+00,2.879999366140e+04,0.000000000000e+00,-4.357382982562e-03,2.613291144371e-06,4.359996273706e-03
15600,2.879999315868e+04,2.879999315868e+04,1.920018319647e+04,9.599814035270e+03,0.000000000000e+00,0.000000000000e+00,2.879999316037e+04,0.000000000000e+00,-4.073059335497e-03,-1.689419150352e-06,4.071369916346e-03
15800,2.879999284177e+04,2.879999284177e+04,1.920018446410e+04,9.599812121488e+03,0.000000000000e+00,0.000000000000e+00,2.879999285614e+04,0.000000000000e+00,-3.743818811927e-03,-1.437962055206e-05,3.729439191375e-03
16000,2.879999230160e+04,2.879999230160e+04,1.920018633049e+04,9.599810486785e+03,0.000000000000e+00,0.000000000000e+00,2.879999229795e+04,0.000000000000e+00,-4.515667924352e-03,3.654509782791e-06,4.519322435954e-03
16200,2.879999189746e+04,2.879999189746e+04,1.920018809473e+04,9.599808943775e+03,0.000000000000e+00,0.000000000000e+00,2.879999190938e+04,0.000000000000e+00,-5.141047924553e-03,-1.192465424538e-05,5.129123270308e-03
16400,2.879999124681e+04,2.879999124681e+04,1.920019002214e+04,9.599808078867e+03,0.000000000000e+00,0.000000000000e+00,2.879999125403e+04,0.000000000000e+00,-6.854191720777e-03,-7.221475243568e-06,6.846970245533e-03
16600,2.879999122212e+04,2.879999122212e+04,1.920019231799e+04,9.599806182720e+03,0.000000000000e+00,0.000000000000e+00,2.879999121803e+04,0.000000000000e+00,-7.278584753294e-03,4.092231392860e-06,7.282676982868e-03
16800,2.879998978291e+04,2.879998978291e+04,1.920019384625e+04,9.599804210443e+03,0.000000000000e+00,0.000000000000e+00,2.879998979938e+04,0.000000000000e+00,-8.273780178570e-03,-1.646764576435e-05,8.257312532805e-03
17000,2.879998936648e+04,2.879998936648e+04,1.920019564342e+04,9.599802985830e+03,0.000000000000e+00,0.000000000000e+00,2.879998935229e+04,0.000000000000e+00,-9.262773719456e-03,1.419335603714e-05,9.276967073674e-03
17200,2.879998949420e+04,2.879998949420e+04,1.920019741113e+04,9.599801451750e+03,0.000000000000e+00,0.000000000000e+00,2.879998948818e+04,0.000000000000e+00,-9.368685470690e-03,6.014481186867e-06,9.374699951877e-03
17400,2.879998860554e+04,2.879998860554e+04,1.920019921978e+04,9.599800264921e+03,0.000000000000e+00,0.000000000000e+00,2.879998860604e+04,0.000000000000e+00,-1.087916180404e-02,-4.954636096954e-07,1.087866634043e-02
17600,2.879998872911e+04,2.879998872911e+04,1.920020052287e+04,9.599799457913e+03,0.000000000000e+00,0.000000000000e+00,2.879998872334e+04,0.000000000000e+00,-1.125168102953e-02,5.768612027168e-06,1.125744964156e-02
17800,2.879998774783e+04,2.879998774783e+04,1.920020233542e+04,9.599798327533e+03,0.000000000000e+00,0.000000000000e+00,2.879998774946e+04,0.000000000000e+00,-1.291512506759e-02,-1.629814505577e-06,1.291349525127e-02
