t,m_r,m_b,eps_r,eps_b,umax,urms,rho_min,rho_max,E_psi
40000,38398.13184240094,38394.975318710465,4.86499374756022e-05,0.00013085107524830165,0.02521100454032421,0.0015037349658086896,0.8899653553962708,1.0071355104446411,8.475100000699361e-05
41000,38398.08156460304,38394.85773428465,4.995925512920015e-05,0.00013391316967063934,0.025495154783129692,0.0015058319550007582,0.8900032043457031,1.0071337223052979,8.086307595173518e-05
42000,38398.03340246316,38394.739851933,5.121347752189346e-05,0.0001369830225780788,0.025285979732871056,0.0015052225207909942,0.8900392651557922,1.0071433782577515,8.579336727658908e-05
43000,38397.98408519818,38394.61957712226,5.249778129742329e-05,0.0001401151791077382,0.025416266173124313,0.0015049263602122664,0.8900711536407471,1.0071407556533813,8.954020837942759e-05
44000,38397.93881182477,38394.49626745197,5.367677539652504e-05,0.0001433263684382761,0.02551260031759739,0.0015056569827720523,0.8900991678237915,1.0071313381195068,8.214183151721954e-05
45000,38397.89755914488,38394.36764960236,5.475106393532769e-05,0.00014667579160516198,0.025521334260702133,0.0015060530276969075,0.8901149034500122,1.0071325302124023,8.273440723617871e-05
46000,38397.856578515544,38394.2374109169,5.581826782436868e-05,0.00015006742403897989,0.02552458643913269,0.0015063147293403745,0.8901302814483643,1.007132887840271,8.315373832980792e-05
47000,38397.81571609582,38394.103760069236,5.6882393337976585e-05,0.00015354791486364168,0.025527453050017357,0.0015065374318510294,0.8901441693305969,1.0071333646774292,8.354415496190389e-05
48000,38397.77168768591,38393.96843097406,5.8028966512703544e-05,0.00015707211005045943,0.025530464947223663,0.0015067456988617778,0.8901572227478027,1.0071332454681396,8.357102051377296e-05
49000,38397.72550764971,38393.83035321527,5.92315716221492e-05,0.00016066788501897615,0.025533458217978477,0.0015069273067638278,0.8901705741882324,1.00713312625885,8.377999688188235e-05
50000,38397.67888946823,38393.692154904784,6.044558676478573e-05,0.00016426679935458802,0.02553652971982956,0.001507110078819096,0.8901830911636353,1.0071338415145874,8.370136221249898e-05
51000,38397.63114799738,38393.5540889187,6.16888542348685e-05,0.00016786226774210414,0.02553965523838997,0.0015072773676365614,0.890195369720459,1.0071337223052979,8.348884681860605e-05
52000,38397.57485839345,38393.41669698092,6.31547293373084e-05,0.00017144018278846337,0.02554251253604889,0.0015075256815180182,0.8902113437652588,1.0071337223052979,8.370058611035348e-05
53000,38397.513136820155,38393.28732553369,6.476206197514027e-05,0.00017480923089351562,0.025523776188492775,0.0015061747981235385,0.8902224898338318,1.0071439743041992,8.257742971181869e-05
54000,38397.45072714616,38393.161092826376,6.638731390201732e-05,0.00017809654097978485,0.025426223874092102,0.0015059466240927577,0.8902458548545837,1.0071405172348022,8.336123699943225e-05
55000,38397.39030048781,38393.036667215834,6.796092479665579e-05,0.00018133679125431474,0.025396734476089478,0.0015062052989378572,0.8902604579925537,1.007135033607483,8.554477244615555e-05
56000,38397.332180549274,38392.912594389374,6.947446486265108e-05,0.0001845678544433819,0.0254745502024889,0.0015056406846269965,0.8902735114097595,1.0071277618408203,8.705792327721914e-05
57000,38397.277400925086,38392.78897763745,7.090101757588249e-05,0.0001877870406913947,0.0253297109156847,0.0015055987751111388,0.8902949690818787,1.0071030855178833,8.751440172394117e-05
58000,38397.22633442415,38392.66562425636,7.223087437106793e-05,0.00019099936832390086,0.02543276734650135,0.0015053718816488981,0.8903059959411621,1.0071321725845337,8.556466549634934e-05
59000,38397.17597481051,38392.54058500688,7.354232264295509e-05,0.00019425559877921236,0.025357140228152275,0.0015064328908920288,0.8903182148933411,1.0071345567703247,8.695316811402638e-05
60000,38397.12506901526,38392.41303975842,7.48679943942913e-05,0.00019757708962439818,0.025347905233502388,0.0015051212394610047,0.890329122543335,1.007132649421692,8.674624686439832e-05
