t,umax,urms,dpdx_liq,dpdx_gas,r2_liq,r2_gas,Pc_dynamic,jump_in,jump_out,rho_res_liq,rho_res_gas,u_band_max,u_band_ux,u_band_ut_rms,m_r,m_b,inj_r,inj_b,inj_m,closure_r,closure_b
22000,0.02106785587966442,0.0033528185449540615,-5.256563903177931e-06,-3.6954580940655106e-06,0.9946456172627703,0.91047469780382,0.0030286846247897237,0.0003406440377659581,0.0008033790497804505,1.0,1.0,0.02106785587966442,0.0029342148918658495,0.0033336414489895105,61102.67880034084,16105.626993783313,-9891.773878455162,10019.304623663425,133.33231568336487,-14.452678795998509,-2.322370119887637
23000,0.021087903529405594,0.003354486310854554,-4.584338257019748e-06,-3.7816178830558903e-06,0.991739378317674,0.9133652643715875,0.0030136989593744223,0.0003860533609322814,0.0007700114353240695,1.0,1.0,0.021087903529405594,0.0029431674629449844,0.003336232854053378,60632.870193682065,16570.450531563132,-10362.216853499413,10483.98135137558,127.93957883119583,-15.087047181477828,-2.4691801875524106
24000,0.021119331941008568,0.003355997148901224,-4.2529567518341726e-06,-3.837317945485255e-06,0.9983983131452859,0.9180431694522944,0.0030032629414704637,0.0004080565291026961,0.0007469821256483322,1.0,1.0,0.021119331941008568,0.0029487833380699158,0.003338564420118928,60162.92716542906,17035.443589789607,-10832.790327191353,10948.82128417492,122.55972409248352,-15.717492620409757,-2.62230561468823
25000,0.02113599330186844,0.003357314970344305,-4.480846903543378e-06,-3.7990390935707895e-06,0.9997645582847813,0.9220730128076332,0.00300464496603281,0.00038974754738063666,0.0007565081810135821,1.0,1.0,0.02113599330186844,0.0029541344847530127,0.0033435679506510496,59692.852641953185,17500.581135494762,-11303.490754961967,11413.800090789795,117.17263931035995,-16.34339691515197,-2.7810447049669165
26000,0.021162889897823334,0.0033587042707949877,-4.80094297046719e-06,-3.6996216538114302e-06,0.9995750362957692,0.9216448136558147,0.0030088182904048355,0.00036429007555949244,0.0007871934204443654,1.0,1.0,0.021162889897823334,0.0029576322995126247,0.0033503074664622545,59222.68454510457,17965.859560085042,-11774.289153575897,11878.914420187473,111.80388301610947,-16.973698680463713,-2.945139897568879
27000,0.021183913573622704,0.0033600619062781334,-5.02636287620321e-06,-3.6876489293765222e-06,0.998500396779992,0.9138560005278602,0.003014273966546188,0.00034567760884662846,0.0007881517928763904,1.0,1.0,0.021183913573622704,0.0029605922754853964,0.003357888199388981,58752.385345431554,18431.29700315589,-12245.21585226059,12344.182001829147,106.44174587726593,-17.601197692143614,-3.115001326743368
28000,0.021196749061346054,0.0033611867111176252,-5.208872218821886e-06,-3.8089997628159562e-06,0.9977922863504082,0.9076793737069766,0.003022175906453206,0.00032970404879922866,0.000744127719903509,1.0,1.0,0.021196749061346054,0.0029629759956151247,0.0033654251601547003,58281.96105039229,18896.87120943136,-12716.254529714584,12809.580824136734,101.0826810002327,-18.21558010687295,-3.290385294625594
29000,0.021210866048932076,0.003362232120707631,-5.413085859727907e-06,-4.008482085828877e-06,0.9973656396878774,0.9099295170003526,0.00303228307947101,0.00031103804680959746,0.0006742229263519972,1.0,1.0,0.021210866048932076,0.002966021653264761,0.003371582832187414,57811.42269608189,19362.583164712916,-13187.385130047798,13275.111947119236,95.75021666288376,-18.80782612969051,-3.471217593680194
30000,0.021231450140476227,0.0033633974380791187,-5.60316531097181e-06,-4.176717789415217e-06,0.9971197902009098,0.9170420887891576,0.0030408855655389977,0.00029306460019212777,0.0006148196365053371,1.0,1.0,0.021231450140476227,0.0029704845510423183,0.0033758406061679125,57340.75400861808,19828.44421554544,-13658.629602193832,13740.785831868649,90.43317770957947,-19.383610811913968,-3.6583836767931643
31000,0.021245429292321205,0.0033646707888692617,-5.747485447694897e-06,-4.291783440561034e-06,0.9966180538703816,0.9229098788413951,0.00304678234974487,0.0002787508561863383,0.0005730784858393179,1.0,1.0,0.021245429292321205,0.0029774548020213842,0.003378841793164611,56869.951133449445,20294.43964564896,-14129.998324513435,14206.589718043804,85.1078314781189,-19.949457962880842,-3.8499276051552442
32000,0.021248046308755875,0.0033654391299933195,-5.81541721196012e-06,-4.383431558303385e-06,0.9955603747540098,0.9249165800308659,0.003047937100707665,0.0002700341085170588,0.0005383246682860165,1.0,1.0,0.021248046308755875,0.002983776619657874,0.0033811917528510094,56399.023967129164,20760.54105982549,-14601.482325792313,14672.493530273438,79.75306838750839,-20.506292921476415,-4.047529552051856
33000,0.021260777488350868,0.0033664428628981113,-5.794778705279059e-06,-4.466792399233937e-06,0.9953835555301119,0.9252206180565999,0.003046538018328049,0.00026916235738505545,0.0005072663453489223,1.0,1.0,0.021260777488350868,0.0029870010912418365,0.003382390597835183,55927.9964847612,21226.80221402819,-15073.050863146782,15138.551236152649,74.45408308506012,-21.04734790798102,-4.250977875541139
34000,0.02127097174525261,0.0033672500867396593,-5.7701360095640245e-06,-4.551049700397251e-06,0.9967566730226346,0.923949946145427,0.0030442229641281515,0.00026856882102566093,0.0004758414963449975,1.0,1.0,0.02127097174525261,0.0029880141373723745,0.0033831619657576084,55456.83151807547,21693.190000359467,-15544.741560697556,15604.72701382637,69.13598561286926,-21.5730787730281,-4.462986533097137
35000,0.02129131183028221,0.003368295030668378,-5.8257763079784636e-06,-4.6293604820176646e-06,0.9981424684217745,0.9238270474059133,0.0030449862697469743,0.0002602783567979272,0.00044733200906188486,1.0,1.0,0.02129131183028221,0.002987621584907174,0.003383766859769821,54985.542172118236,22159.757646766637,-16016.550413608551,16071.07681196928,63.858662724494934,-22.092585726786638,-4.6808347973565105
36000,0.021287860348820686,0.003369100159034133,-5.9439895306069306e-06,-4.692501164373456e-06,0.9983474975041915,0.9239038880807906,0.0030471175661878624,0.00024550202935103016,0.0004235247843993317,1.0,1.0,0.021287860348820686,0.002987595973536372,0.0033844392746686935,54514.12826197702,22626.458099738047,-16488.478372454643,16537.549165725708,58.57019877433777,-22.606634431664133,-4.908934012339159
37000,0.02130376361310482,0.003369735786691308,-6.090600621254287e-06,-4.734794165999883e-06,0.9979167455419472,0.9259476374248243,0.0030499832112382275,0.00022752924345825765,0.0004063809685631026,1.0,1.0,0.02130376361310482,0.00298604485578835,0.0033847230952233076,54042.60164053618,23093.292413021525,-16960.51154255867,17004.14840131998,53.287146627902985,-23.113183094850683,-5.144011701544514
38000,0.021307701244950294,0.0033705374225974083,-6.196094069252129e-06,-4.666892283742547e-06,0.9976405041659463,0.9284716725948831,0.0030503309952755187,0.000214276705833627,0.00042359070078723526,1.0,1.0,0.021307701244950294,0.0029845365788787603,0.003385271644219756,53570.9579315456,23560.24665166213,-17432.654420733452,17470.85773074627,47.99002182483673,-23.612352279051265,-5.3889209158624
39000,0.021303270012140274,0.003370807971805334,-6.2794250281747074e-06,-4.532881439689193e-06,0.99739812361961,0.9305498270431988,0.003048627246189095,0.00020280574679165664,0.00046077118306636633,1.0,1.0,0.021303270012140274,0.0029833342414349318,0.0033848052844405174,53099.21518142773,24027.32768106665,-17904.89720237255,17937.683881103992,42.69314122200012,-24.11238380028226,-5.643799962657795
40000,0.021310092881321907,0.003371745813637972,-6.246763993713862e-06,-4.333757700769659e-06,0.9974552025734834,0.9282473941694933,0.00304424121933361,0.00020547965192829754,0.0005179238663365338,1.0,1.0,0.021310092881321907,0.0029808497056365013,0.003385684685781598,52627.41084824756,24494.478005289126,-18377.206915140152,18404.5693641901,37.37089407444,-24.617763387708692,-5.908641099023953
41000,0.021316953003406525,0.003372075268998742,-6.227878564820087e-06,-4.138040510728896e-06,0.9976720572824778,0.9209682138543848,0.003040642753945888,0.00020661155914031282,0.0005732541654835388,1.0,1.0,0.021316953003406525,0.0029777982272207737,0.0033856588415801525,52155.494720391136,24961.719123500294,-18849.632748365402,18871.534239828587,31.996042728424072,-25.127468756538292,-6.184883671707212
42000,0.021285880357027054,0.003372912760823965,-6.21278815091024e-06,-3.961378080959378e-06,0.997689953487455,0.9100697447041166,0.0030389700590634505,0.00020711274017398695,0.0006234239780223971,1.0,1.0,0.021285880357027054,0.002975988667458296,0.0033857545349746943,51683.503521194776,25429.124428739855,-19322.14461493492,19338.65214419365,26.66754722595215,-25.648136129697377,-6.472284546205628
43000,0.021308930590748787,0.003373502055183053,-6.2070209234136915e-06,-3.866293532326554e-06,0.9977540961431859,0.8999821473141449,0.0030403285910623468,0.00020683860263548404,0.0006492172970488097,1.0,1.0,0.021308930590748787,0.002971536247059703,0.0033855161163955927,51211.3669180882,25896.6314098991,-19794.808517217636,19805.85933381319,21.258097767829895,-26.17543530583498,-6.772076085908338
44000,0.021288486197590828,0.003373625921085477,-6.2255876108934985e-06,-3.8057824666477157e-06,0.9972857768235471,0.8940776746365142,0.0030435481282042876,0.00020337690816718546,0.0006648566932445643,1.0,1.0,0.021288486197590828,0.0029690556693822145,0.0033849989995360374,50739.17222888283,26364.22552423329,-20267.539488196373,20273.1419544816,15.836127758026123,-26.71171707920439,-7.0835697516886285
45000,0.021268028765916824,0.0033742026425898075,-6.177387932403801e-06,-3.8315905606674945e-06,0.9974481132734144,0.8932359140924664,0.0030477252030574054,0.00020919586141737723,0.0006557160626546321,1.0,1.0,0.021268028765916824,0.0029669622890651226,0.003385186195373535,50266.949267274416,26831.877586843617,-20740.29394888878,20740.471455216408,10.415635585784912,-27.24321616319503,-7.406131627209106
46000,0.02126523293554783,0.0033743618987500668,-6.138222580926931e-06,-3.8378956643033094e-06,0.9968518437223861,0.8955387559357489,0.0030500740301846463,0.0002133871848675195,0.0006513181848052385,1.0,1.0,0.02126523293554783,0.002965522464364767,0.0033838090021163225,49794.599464687955,27299.673871540654,-21213.164910912514,21207.933264136314,4.988216936588287,-27.764375600469066,-7.740607404339244
