t,umax,urms,band_valid,liq_band,gas_band,n_mixed,dpdx_liq,dpdx_gas,r2_liq,r2_gas,Pc_dynamic,Pc_dynamic_thr085,Pc_dynamic_thr095,jump_in,jump_out,rho_res_liq,rho_res_gas,u_band_max,u_band_ut_rms,m_r,m_b,inj_r,inj_b,inj_m,closure_r,closure_b
21000,0.021509509533643723,0.005468492396175861,1,"[12, 139]","[150, 250]",7,-8.859707794755734e-06,-8.474414748469949e-06,0.9959932248900408,0.9734217325152168,0.0029253057252486836,0.0029253057252486836,0.002950590838404543,0.0004723072052001953,0.00041174888610839844,1.0,1.0,0.021509509533643723,0.0038105195853859186,18376.46290163767,21818.201496646383,-15793.975844621658,15730.07283604145,-74.05422401428223,-6.438746259329491,-4.12866060493252
22000,0.02171502262353897,0.005473381374031305,1,"[12, 144]","[155, 250]",7,-8.782075269296507e-06,-8.508402432866655e-06,0.9954858237981657,0.9702862546318297,0.002922749486926668,0.002922749486926668,0.0029488051471120436,0.00047719478607177734,0.0004093647003173828,1.0,1.0,0.02171502262353897,0.003993825986981392,17599.70722540004,22590.123739211776,-16570.93909215927,16501.675363361835,-81.57001096010208,-6.6463175593125925,-4.4483758499409305
23000,0.021848756819963455,0.0054765064269304276,1,"[12, 149]","[160, 250]",7,-8.76400681013966e-06,-8.542164464092334e-06,0.9952500743384417,0.967440190880793,0.002922923693888746,0.002922923693888746,0.002949250371687362,0.0004780292510986328,0.00040665268898010254,1.0,1.0,0.021848756819963455,0.004013845697045326,16822.9083378561,23362.383054714253,-17347.945066213608,17273.60870283842,-89.02822709083557,-6.853404069708631,-4.774351875832508
24000,0.021963132545351982,0.0054795583710074425,1,"[12, 154]","[165, 250]",7,-8.772611133401387e-06,-8.497197156961811e-06,0.9968090168834994,0.9629613055352397,0.002919218706213478,0.002919218706213478,0.0029457924941275193,0.00047644972801208496,0.0004062354564666748,1.0,1.0,0.021963132545351982,0.004044927656650543,16046.031535532955,24134.96113206074,-18125.021962165833,18045.85351485014,-96.46089708805084,-7.053497698787396,-5.107617210600438
25000,0.02208336442708969,0.00547957606613636,1,"[12, 159]","[170, 250]",7,-8.794626177840232e-06,-8.382300675557476e-06,0.9980670884354703,0.9537471303249203,0.0029098502534832815,0.0029098502534832815,0.002938185970464968,0.00047129392623901367,0.00040727853775024414,1.0,1.0,0.02208336442708969,0.004050562623888254,15269.174482516264,24907.853222398204,-18902.0736566782,18818.40115505457,-103.77447187900543,-7.2481391944638744,-5.452067343634553
26000,0.022193048149347305,0.005480756983160973,1,"[12, 164]","[175, 250]",7,-8.835010944186459e-06,-8.212683211010866e-06,0.9973575097706183,0.9404120451733085,0.0029011574632021864,0.0029011574632021864,0.002925497564995161,0.0004642903804779053,0.00041106343269348145,1.0,1.0,0.022193048149347305,0.004041334614157677,14492.401721539463,25680.928827869495,-19679.032967329025,19591.11502325535,-111.02976322174072,-7.434688868488593,-5.8138046141466475
27000,0.02229425311088562,0.005481956992298365,1,"[12, 169]","[180, 250]",7,-8.870026476754101e-06,-7.993131993312582e-06,0.9957102173919071,0.9264060312659226,0.002893568726886564,0.002893568726886564,0.0029201927114486104,0.0004585385322570801,0.0004172325134277344,1.0,1.0,0.018738653510808945,0.003940085880458355,13715.649780577187,26454.157689282347,-20455.961751818657,20363.965943694115,-118.30902922153473,-7.611532395843824,-6.191745588232152
28000,0.022390665486454964,0.005483739078044891,1,"[12, 174]","[185, 250]",7,-8.874123555100284e-06,-7.717105579542837e-06,0.9948140938745037,0.9082904021305153,0.0028852747251630895,0.0028852747251630895,0.002913506862258608,0.00045689940452575684,0.00042515993118286133,1.0,1.0,0.018724340945482254,0.003945427481085062,12938.802060045316,27227.58290697906,-21232.976265072823,21137.001564085484,-125.67339408397675,-7.778325118139037,-6.58134289357622
29000,0.02247445099055767,0.005485307890921831,1,"[12, 179]","[190, 250]",7,-8.873886600578941e-06,-7.357485395697394e-06,0.9944465247006576,0.8694963619769535,0.0028769970513591314,0.0028769970513591314,0.0029070387431053835,0.0004571080207824707,0.00043469667434692383,1.0,1.0,0.018714936450123787,0.00395453255623579,12161.86708768685,28001.19580358277,-22010.06775343418,21910.217373669147,-133.1095676422119,-7.934841121030331,-6.978429913622676
30000,0.02254311554133892,0.005486640613526106,1,"[12, 184]","[195, 250]",7,-8.865949939301664e-06,-6.898981754225966e-06,0.9947590235909701,0.7990897168433149,0.0028679730640109313,0.0028679730640109313,0.0028992385170571455,0.00045800209045410156,0.00044658780097961426,1.0,1.0,0.018683480098843575,0.003963483963161707,11384.888212893731,28775.042318413893,-22787.19230878353,22683.65820413828,-140.52266043424606,-8.080521677264187,-7.384114275613683
31000,0.0226080771535635,0.005487844813615084,1,"[12, 189]","[200, 250]",7,-8.861357662039844e-06,-6.399687026298978e-06,0.9962396022745801,0.7073673139480021,0.0028620804896330454,0.0028620804896330454,0.002897560459982129,0.0004590749740600586,0.00045865774154663086,1.0,1.0,0.01865965873003006,0.003973417449742556,10607.871315379438,29549.06068316432,-23564.34326171875,23457.264741241932,-147.95849186182022,-8.214577098187874,-7.79594192238801
32000,0.022669868543744087,0.0054896739311516285,1,"[12, 194]","[205, 250]",7,-8.85659482598696e-06,-5.821167087681122e-06,0.9976657597126516,0.6106520438971105,0.002857888545999887,0.002857888545999887,0.0028982221883583903,0.0004602968692779541,0.00047138333320617676,1.0,1.0,0.018615292385220528,0.003985599149018526,9830.791320743225,30323.30540937948,-24341.548203229904,24231.08671492338,-155.38574814796448,-8.339523973128962,-8.218694456099911
33000,0.022712072357535362,0.005491187795996666,1,"[12, 199]","[210, 250]",7,-8.849152901880616e-06,-4.776809050039816e-06,0.9983202030977159,0.49840819208614373,0.0028447761802797844,0.0028447761802797844,0.0028880258259090796,0.0004616081714630127,0.0004913806915283203,1.0,1.0,0.01858985796570778,0.003996077459305525,9053.653287573648,31097.789231065155,-25118.801438093185,25005.12826424837,-162.7882457971573,-8.454725666833838,-8.660966816783912
34000,0.022758208215236664,0.005492895841598511,1,"[12, 203]","[215, 250]",8,-8.821414183588216e-06,-2.847240418614824e-06,0.9984558509956,0.30984714450094,0.0028111806637182157,0.002812362468039953,0.0028532646681042606,0.00046446919441223145,0.0005193054676055908,1.0,1.0,0.018570780754089355,0.004008464515209198,8276.436798311948,31872.506661798234,-25896.124267578125,25779.37659651041,-170.19058138132095,-8.561065890073223,-9.130065287823527
35000,0.022789210081100464,0.005493661388754845,1,"[12, 208]","[220, 250]",8,-8.785712860412728e-06,-2.551330740352009e-07,0.9983081196641441,0.004382385737255912,0.0027639329897748977,0.002764813079635331,0.002805618525463016,0.0004679560661315918,0.0005395114421844482,1.0,1.0,0.018563922494649887,0.004021135158836842,7499.174943805421,32647.388773686103,-26673.481352210045,26553.773020923138,-177.61187255382538,-8.656296015466069,-9.615752762965712
36000,0.022825870662927628,0.005493920296430588,1,"[12, 213]","[225, 250]",8,-8.734218369949847e-06,9.956955909745175e-07,0.9981131857916375,0.04210334438890351,0.002742252217756147,0.0027431152581905427,0.0027946442709516073,0.00047269463539123535,0.0005199611186981201,1.0,1.0,0.01856883242726326,0.004033414646983147,6721.854252294326,33422.29278384154,-27450.88787996769,27328.177771508694,-185.19941598176956,-8.74213226201391,-10.115012332847982
37000,0.02286202274262905,0.005493291653692722,1,"[12, 218]","[230, 250]",8,-8.685443717225776e-06,3.427042996991551e-07,0.997447762859592,0.002142749338380656,0.0027497113616671842,0.0027507380046908336,0.0028287517550527608,0.00047701597213745117,0.00046765804290771484,1.0,1.0,0.018591897562146187,0.0040470608510077,5944.507218049026,34197.193249951146,-28228.31105208397,28102.56891196966,-192.91152173280716,-8.818270132993348,-10.624337981484132
38000,0.022911034524440765,0.00548569206148386,1,"[12, 223]","[235, 250]",8,-8.625177072470552e-06,-8.307397365535962e-07,0.9968209618587877,0.0056472072430228115,0.002750853527646202,0.002750853527646202,0.002869169789763648,0.00047919154167175293,0.00040966272354125977,1.0,1.0,0.0187233816832304,0.004063501488417387,5168.111369523511,34971.68805887571,-29004.771973967552,28876.54789340496,-200.12036442756653,-8.883343491062988,-11.140165470751526
39000,0.023005332797765732,0.005463332403451204,0,,,,,,,,,,,,,1.0,1.0,0.018999245017766953,0.004044465254992247,4394.711468693626,35744.01312983849,-29778.22593832016,29648.34842199087,-206.4647421836853,-8.93740701378556,-11.664707847616228
40000,0.0232533011585474,0.005421768873929977,0,,,,,,,,,,,,,1.0,1.0,0.019614916294813156,0.003977472893893719,3627.7655368880332,36511.06298219803,-30545.222678542137,30414.868621349335,-211.4929357767105,-8.988215430170385,-12.194360848698125
