x,Req_r,R_r,dacc_r,net_r,cc,chi
40,3.531939633515e-09,-5.201153517537e-17,-1.086087741481e-18,2.366239609926e-06,1.205125764769e-04,1.668941396771e-08
41,1.989183542521e-09,-2.992775109859e-17,-3.640405207557e-18,2.874822720237e-06,7.781228834114e-05,-3.802140682949e-05
42,1.835312856280e-09,-2.522137088551e-17,-3.620292471604e-18,3.383794556493e-06,4.941696475014e-05,-5.789562270034e-05
43,2.938727645770e-09,-5.213221159109e-17,1.407891516735e-18,3.893867782924e-06,3.455367749192e-05,-6.805453239393e-05
44,1.381799254728e-09,-1.086087741481e-17,-1.287215101015e-18,4.401414290718e-06,2.961965189110e-05,-6.956093227094e-05
45,5.743830748226e-09,-8.242199193685e-17,-4.183449078298e-18,4.905591840329e-06,2.782952197460e-05,-7.075905165974e-05
46,5.303477139577e-09,-7.843967021808e-17,2.554317466076e-18,5.402966685917e-06,2.654177971003e-05,-7.069867310447e-05
47,2.940752260063e-09,-3.632360113176e-17,-3.016910393003e-19,5.891271259474e-06,2.714561036773e-05,-7.182728664656e-05
48,4.408597622229e-09,-6.335511825307e-17,-1.950935387475e-18,6.365387336068e-06,2.781774030016e-05,-7.170904980186e-05
49,5.729658448178e-09,-7.916372871240e-17,-1.126313213388e-18,6.822852984719e-06,2.515160557995e-05,-7.211918956593e-05
50,5.936169106027e-09,-8.218063910541e-17,1.045862269574e-18,7.264251294343e-06,2.799435705049e-05,-7.280547235487e-05
51,5.511000104572e-09,-7.807764097092e-17,-4.102998134484e-18,7.684075314066e-06,3.107349110036e-05,-7.133620500531e-05
52,5.433052454306e-09,-7.807764097092e-17,3.016910393003e-19,8.083750372348e-06,2.650272462550e-05,-7.419768816535e-05
53,6.150778221047e-09,-8.821445989141e-17,-2.654881145843e-18,8.455437162648e-06,3.134377906680e-05,-7.182291978718e-05
54,8.155146370763e-09,-1.233312968660e-16,-2.755444825610e-18,8.792332980944e-06,3.037616341653e-05,-7.282473893801e-05
55,1.046928050725e-08,-1.553105470318e-16,2.634768409889e-18,9.105646091959e-06,2.533395009362e-05,-7.385768642367e-05
56,1.292716225852e-08,-1.940476764780e-16,-8.849603819476e-19,9.383844292682e-06,2.999661547896e-05,-7.114308731571e-05
57,1.908806355103e-08,-2.852790467624e-16,-1.126313213388e-18,9.624530439791e-06,2.813246235885e-05,-7.184187201882e-05
58,1.999711536843e-08,-2.956572185143e-16,8.045094381342e-20,9.830814340840e-06,2.642840690501e-05,-7.179852548175e-05
59,1.798059953296e-08,-2.618678221127e-16,3.439277848024e-18,9.997318620267e-06,2.827107529376e-05,-7.154477317977e-05
60,1.505098265150e-08,-2.155280784761e-16,-8.045094381342e-19,1.012216443601e-05,2.671176853947e-05,-7.233037010248e-05
61,1.421076772006e-08,-2.049085538928e-16,3.700743415417e-18,1.020580530167e-05,2.511553326189e-05,-7.265869707702e-05
62,1.342319276022e-08,-1.935649708151e-16,-3.016910393003e-19,1.024817642958e-05,2.962885255230e-05,-7.199962766752e-05
63,1.301826990169e-08,-1.799285358387e-16,-2.333077370589e-18,1.024752855301e-05,2.929320474115e-05,-7.158969399706e-05
64,1.403057704801e-08,-1.934442943994e-16,-1.930822651522e-18,1.020483348681e-05,2.726616833807e-05,-7.316254076086e-05
65,1.487787812948e-08,-2.116664331731e-16,-8.849603819476e-19,1.011898984080e-05,3.118669201384e-05,-7.077447245617e-05
66,1.651984032082e-08,-2.361637455643e-16,1.769920763895e-18,9.993172210196e-06,2.952223405235e-05,-7.226104393098e-05
67,2.035850901967e-08,-2.992775109859e-16,-2.815783033470e-19,9.828870711119e-06,2.766010301378e-05,-7.263820669949e-05
68,1.923687270154e-08,-2.823828127851e-16,-3.821419831137e-19,9.625048741050e-06,3.087923101584e-05,-7.000052032800e-05
69,1.266193778619e-08,-1.845142396361e-16,3.861645303044e-18,9.383520354395e-06,2.711330997282e-05,-7.231265583459e-05
70,1.024151139933e-08,-1.526556658860e-16,6.033820786006e-20,9.105386941329e-06,2.587664518278e-05,-7.123957147591e-05
71,8.543872314951e-09,-1.226072383716e-16,-5.852806162426e-18,8.795248425525e-06,2.868127907544e-05,-7.072310763921e-05
72,6.241885864216e-09,-9.062798820581e-17,2.051499067242e-18,8.455048436704e-06,2.757447107293e-05,-7.050408801968e-05
73,4.919812731121e-09,-7.216449660064e-17,-3.720856151371e-18,8.085240488467e-06,2.663202505237e-05,-7.073582616532e-05
