t,umax,urms,dpdx_liq,dpdx_gas,r2_liq,r2_gas,Pc_dynamic,jump_in,jump_out,rho_res_liq,rho_res_gas,u_band_max,u_band_ux,u_band_ut_rms,m_r,m_b,inj_r,inj_b,inj_m,closure_r,closure_b
30000,0.022493522614240646,0.005486332345753908,-1.1980981829970308e-05,-4.425236487134838e-06,0.9425270760790191,0.8686661541043443,0.0028931176189390118,-2.000139571362025e-05,0.0005589085772181313,1.0,1.0,0.01870972476899624,0.005028293468058109,0.003957162145525217,11382.669494577402,28777.36221880555,-22789.40928387642,22685.956146657467,-140.50107860565186,-8.078778453818813,-7.406072148081876
31000,0.02254507876932621,0.005488316994160414,-1.1531725764911665e-05,-3.950670361519847e-06,0.9502317436670057,0.9091806060574935,0.002884386483178014,3.7946955777468094e-05,0.0005615468165187654,1.0,1.0,0.018687833100557327,0.005021071992814541,0.003964003175497055,10605.662110194222,29551.387727141846,-23566.55099630356,23459.57036435604,-147.91871404647827,-8.213106497780245,-7.817362785805017
32000,0.02260303683578968,0.005490112118422985,-1.037842967612056e-05,-4.439699378881767e-06,0.9300409428736794,0.8816278203052101,0.0028779552806271202,0.00020733346196460944,0.0005350442546787071,1.0,1.0,0.01866874285042286,0.005022980272769928,0.003973919898271561,9828.518468641836,30325.70044493327,-24343.819447040558,24233.4624953866,-155.33744555711746,-8.337915682393941,-8.23794954667028
33000,0.022653231397271156,0.0054914443753659725,-9.681113104133782e-06,-5.065229407607088e-06,0.8955959821205162,0.8531481904772474,0.002881286421047513,0.0003125470815598663,0.0005064268169820418,1.0,1.0,0.0186409130692482,0.005029389169067144,0.003982217982411385,9051.330847732253,31100.242805381185,-25121.123344421387,25007.56465047598,-162.72925907373428,-8.454192153640179,-8.678154905206611
34000,0.022699326276779175,0.005493030417710543,-9.277407179543505e-06,-3.674673655676676e-06,0.8823884490649123,0.7959401252106851,0.0028410929332137735,0.0003728690738132312,0.0005183035419101811,1.0,1.0,0.01861589588224888,0.005022124387323856,0.003991857636719942,8274.065790915738,31875.015562707114,-25898.494745731354,25781.87239521742,-170.11884623765945,-8.560536647091794,-9.14316748969577
35000,0.022733010351657867,0.005494207609444857,-8.769502693956841e-06,-3.511726620643674e-06,0.8725621934427631,0.7934438638192387,0.002821650597192693,0.0004533809807263922,0.0004972860275991864,1.0,1.0,0.018594499677419662,0.005007078871130943,0.004001820459961891,7496.690262580825,32649.93287540878,-26675.9667211771,26556.306256234646,-177.61528372764587,-8.656983757926355,-9.626619174134248
36000,0.022770050913095474,0.005493881180882454,-7.904468373182226e-06,-4.189886667899477e-06,0.865269052142426,0.9173017648085026,0.0028061932457247307,0.0005971117878127985,0.0004671199813018334,1.0,1.0,0.01858028955757618,0.005010400898754597,0.0040130517445504665,6719.223287204806,33424.9504718015,-27453.51972281933,27330.824320971966,-185.23493164777756,-8.743010024132673,-10.126150829535618
37000,0.022812020033597946,0.005493080243468285,-7.092902924927835e-06,-6.003857968927153e-06,0.8155847741655127,0.7535199774178114,0.002805596476510186,0.0007373373357842938,0.00042988163429302784,1.0,1.0,0.018578028306365013,0.005011067260056734,0.004026144742965698,5941.842780921218,34199.90545444838,-28230.975048422813,28105.271140038967,-192.92233282327652,-8.817829344032361,-10.634314409413491
38000,0.02287764474749565,0.005485721863806248,-6.6226497690946275e-06,-1.2019205661047321e-05,0.7771899203215888,0.9214217823104667,0.002844419212230942,0.0008194290380426628,0.00035455645549858916,1.0,1.0,0.018589625135064125,0.004994099959731102,0.004046516492962837,5165.46631122223,34974.39328861238,-29007.42019188404,28879.243900060654,-200.11985117197037,-8.886503106270538,-11.149388551726588
39000,0.022955428808927536,0.005463852547109127,,,,,,,,1.0,1.0,0.018887851387262344,0.0049516018480062485,0.004062979482114315,4392.051339296024,35746.723882728744,-29780.900575518608,29651.04928702116,-206.4932331442833,-8.951914814631891,-11.674595707583649
40000,0.023181632161140442,0.005421650595963001,,,,,,,,1.0,1.0,0.019382162019610405,0.004878113511949778,0.0039950222708284855,3625.0837186828576,36513.7695290797,-30547.922332286835,30417.56473749876,-211.55009573698044,-9.006050969692296,-12.204791580938036
